,mRNA_ratio,MA,actual_mRNA_ratio
nac_ntrc__wt_gln__1,1.0595294536409183,-1.103160318850358,0.6021543965866172
nac_ntrc__wt_gln__2,1.0919167351000973,-1.0597211656010206,0.5709776911074259
nac_ntrc__bw_delnac_csn__1,0.6233511010107424,-1.868467120488837,0.3257259062126424
nac_ntrc__bw_delnac_csn__2,0.6564176564658692,-1.7938980618866827,0.36687490323049876
nac_ntrc__bw_delnac_cytd__1,1.6305752639165068,-0.4812029779151933,1.0590554480177297
nac_ntrc__bw_delnac_cytd__2,1.6086209271333187,-0.5007596184803872,1.029726430208237
nac_ntrc__bw_delnac_gln__1,1.295679112696361,-0.8128755470427239,0.5290939524385887
nac_ntrc__bw_delnac_gln__2,1.2542988894000149,-0.8597028404960984,0.5311820336281898
nac_ntrc__bw_delnac_nh4__1,2.6431190926758257,0.21565741855991843,2.434902571220903
nac_ntrc__bw_delnac_nh4__2,2.5615733640568275,0.17044619920564602,2.478371203523558
misc__wt_no_te__1,1.7184969680959494,-0.40543670590069714,1.36042377022336
misc__wt_no_te__2,1.951642378990671,-0.22189529614320927,1.8820611844463737
misc__bw_delcbl__1,2.37814725672228,0.06325403834513738,2.2859680088655527
misc__bw_delcbl__2,2.4263324027349342,0.09219319806224488,2.3235301686792202
misc__bw_delfabr__1,2.3765029651943874,0.06225618941118147,2.5385739504430265
misc__bw_delfabr__2,2.4134742507254585,0.08452742250039336,2.4808695085563475
misc__bw_delfadr__1,2.1436947290922945,-0.08648453755910875,2.2070459004563316
misc__bw_delfadr__2,2.135482733675813,-0.09202177910148564,1.9942724880555658
misc__nitr_031__1,1.5225124750839558,-0.5801299630399689,1.0777705386116523
omics__wt_glu__1,2.0478743317227788,-0.15245682555731024,2.4825086535135417
omics__wt_glu__2,1.9113252032987653,-0.2520107450936599,2.1472072513568503
omics__wt_gly__1,1.9301126727050406,-0.2378989432480339,2.609500937378708
omics__wt_gly__2,1.9749953571116046,-0.20473475054440318,2.642228429323656
omics__wt_thr__1,2.121124298425883,-0.10175484665629682,3.1130445042507597
omics__wt_thr__2,2.4864064346604327,0.12747813016535683,3.2907053524524987
omics__bw_ac__1,2.576603076951488,0.17888629632995268,0.35396057013110505
omics__bw_ac__2,2.6702652610338946,0.23039905237293562,0.3457793129032311
omics__bw_fum__1,1.9145589435793333,-0.24957193513592435,0.29420275618607566
omics__bw_fum__2,1.658784639734619,-0.4564574191678017,0.30636936478711213
omics__bw_glc__1,1.6933438739004407,-0.4267090356438539,1.5883877661486796
omics__bw_glc__2,1.7220332921557173,-0.40247097760028006,1.6194675842449786
omics__bw_pyr__1,1.975073316427758,-0.20467780392999557,0.41370631832574484
omics__bw_pyr__2,1.9588240732676678,-0.2165961808106498,0.44509117799344144
ompr__wt_nacl__1,0.7872955876089968,-1.531606714511348,0.33167772211164315
ompr__wt_nacl__2,0.8002534431272391,-1.5080551281413943,0.28878380835338285
ompr__bw_delompr_nacl__1,1.0521734241094363,-1.1132114963749968,0.3638750086610271
ompr__bw_delompr_nacl__2,0.9553907392829437,-1.2524212145265223,0.3568311372005272
minspan__wt_ade__1,1.7332767099503432,-0.3930820195413693,0.6856955851706968
minspan__wt_glc__1,2.451143593426274,0.10687099065460179,1.5894330236195349
minspan__wt_glc__2,2.3172209011633975,0.025811570885015206,1.542847198373944
minspan__wt_glc__3,2.6150681836429075,0.20026455058563442,1.6601002115039851
minspan__wt_glc__4,2.533419344867376,0.15450188697210043,1.6340834322531588
minspan__wt_glc_anaero__1,2.7695677004571166,0.2830767924658962,1.6560148247582893
minspan__wt_glc_anaero__2,3.250422157998115,0.5140430922096721,1.8282582495060766
minspan__wt_trp__1,5.509465634212413,1.2753283855786752,3.4340829037153497
minspan__bw_delcra_glc__1,2.477453147014535,0.12227376147546025,2.226154934444325
minspan__bw_delcra_glc__2,2.481399654072841,0.12457010201723812,2.2536980391063706
minspan__bw_delcra_trp__1,3.522836964945848,0.6301536969050808,3.010102013716678
minspan__bw_delmntr__1,4.197401100002135,0.8829123201958606,3.13957047686794
minspan__bw_delnac_ade__1,2.2285197141118505,-0.03049828880709425,1.3153059184476785
minspan__bw_delnac_glc__1,1.923520933195744,-0.24283448209185068,1.2732156806348458
cra_crp__wt_ac__1,2.121843509663416,-0.10126575385964709,0.3928871814153571
cra_crp__wt_ac__2,2.2006022667839615,-0.04868559382645066,0.36444781538669296
cra_crp__wt_fru__1,2.802541184703754,0.30015156199074994,0.6036523359630604
cra_crp__wt_fru__2,2.6852369329705805,0.23846537830951015,0.5337546583357597
cra_crp__delcra_ac__1,2.1803748716158973,-0.06200781357003038,0.17031917225654117
cra_crp__delcra_ac__2,2.0937990319433206,-0.12046103685681464,0.18380041804727476
cra_crp__delcra_fru__1,1.291028684840848,-0.8180629566449067,0.3894700520973756
cra_crp__delcra_fru__2,1.2900116360050522,-0.8191999333715675,0.38106190105533033
cra_crp__delcra_glc__1,1.6616274065615946,-0.4539870952751298,1.352308217478168
cra_crp__delcra_glc__2,1.7030362658062312,-0.41847485506291937,1.356458085603352
rpoB__wt_031__1,2.6608337804236943,0.22529437718511003,2.7727886031732925
rpoB__wt_044__1,2.104205904831713,-0.1133081273727338,1.5456248546021094
rpoB__wt_lb__1,2.3534040348277765,0.04816501289593944,0.4307700548301354
rpoB__wt_lb__2,2.215419206005617,-0.039004298078457955,0.44563085311631745
rpoB__rpoBE546V_031__1,2.404671522516965,0.07925582339961623,2.2508636108939175
rpoB__rpoBE546V_044__1,2.5172630752247365,0.14527198587906512,2.2334197327322527
rpoB__rpoBE546V_lb__1,2.3004614185271994,0.015339248633125857,0.5651235456992173
rpoB__rpoBE546V_lb__2,2.3883540253065956,0.06943269059169321,0.6118571860009819
rpoB__rpoBE546V_glc__1,2.2509003703048767,-0.016081810882453033,1.5324157893954662
rpoB__rpoBE672K_glc__1,2.1201055911697844,-0.10244789276462421,2.409405244442052
rpoB__rpoBE672K_glc__2,2.190398558389786,-0.05539061010058495,2.510667729216654
rpoB__rpoBE672K_lb__1,1.953553650893569,-0.22048313516836537,0.48780021729216766
rpoB__rpoBE672K_lb__2,1.9919038270435756,-0.19243601931005067,0.4886165720915029
crp__wt_fru__1,2.7405828186410615,0.2678987203567821,0.41128198211677686
crp__wt_glyc__1,2.9448327502076337,0.3716016871893963,0.30291058921961245
crp__wt_glyc__2,2.7170534695045587,0.2554589446585013,0.30227809343366013
crp__delar1_glyc__1,1.10775927525067,-1.0389396057630966,0.2928929513501306
crp__delar1_glyc__2,1.0625173922513906,-1.0990975555113376,0.2679890515499466
crp__delar1ar2_glyc__1,0.6455288289312611,-1.8180305803188341,0.13564225487450562
crp__delar1ar2_glyc__2,0.6313733515936244,-1.850018737152634,0.1334267887252426
crp__delar1ar2_glyc__3,0.6392179732558643,-1.8322041332729158,0.14088453593300188
crp__delar2_glyc__1,0.700182931879407,-1.7007802130774152,0.1465150499237213
crp__delar2_glyc__2,0.7643161422942418,-1.5743426069106825,0.15363436679889564
crp__delar2_glyc__3,0.7205235228603626,-1.659466576495834,0.14228618876632748
crp__delcrp_fru__1,0.6476431062536268,-1.8133130945106284,0.24013231954626799
crp__delcrp_fru__2,0.6534052787816067,-1.8005339970069116,0.2588371658908118
crp__delcrp_fru__3,0.6753271094945065,-1.752925634750002,0.2599657664120773
crp__delcrp_glc__1,0.5637932334838571,-2.013345944067717,0.27212749844592893
crp__delcrp_glc__2,0.5900364886392304,-1.947707931778801,0.250789452304082
crp__delcrp_glc__3,0.5744552119255116,-1.986317691342609,0.25065321604945917
crp__delcrp_glyc__1,0.6326807713621088,-1.8470343575209163,0.211183186384858
crp__delcrp_glyc__2,0.5874648405203766,-1.954009597509346,0.22444664977541295
crp__delcrp_glyc__3,0.6192715460883792,-1.8779399476816583,0.20793099516528732
glu__glu_ale3__1,2.787924122666399,0.2926072844362689,2.2045075451014404
glu__glu_ale4__1,2.4207183126110583,0.08885119729585134,2.0879783085333754
glu__glu_ale5__1,2.7704786712340352,0.28355124807363863,2.276021272112314
glu__glu_ale6__1,2.33029443380961,0.03392823930075822,2.5694922237289806
glu__glu_ale8__1,3.322054446827759,0.5454917062515534,2.760390359359802
glu__glu_ale9__1,3.257344769484815,0.5171124157242303,2.9962825620011397
glu__glu_ale10__1,2.2381539537023105,-0.024274735322732943,2.0893643746305886
42c__wt_42c__1,1.9236721002131576,-0.24272110701314398,1.9772234762455563
42c__42c_ale1__1,4.695422348619887,1.0446709204149909,3.2535726676774503
42c__42c_ale2__1,2.078350775568404,-0.13114484532204876,1.8648839749500656
42c__42c_ale3__1,2.0406186155531536,-0.15757743936795732,1.3729361645350961
42c__42c_ale4__1,2.474375388209543,0.12048037630260656,1.5341451322054949
42c__42c_ale5__1,1.8861695550073825,-0.27112464107318396,1.1912698989604567
42c__42c_ale6__1,2.586077057534779,0.18418125158250445,2.3507471853166555
42c__42c_ale8__1,2.4976805452761117,0.13400495495098924,1.681282030087296
42c__42c_ale9__1,1.9600427649578072,-0.21569888034753304,1.9733736571620966
42c__42c_ale10__1,2.683352523240173,0.23745258762887064,2.1901819179470805
ssw__wt_ac__1,1.8128280744523855,-0.32834190348722614,0.23684312360638457
ssw__wt_glc__1,2.442288275768265,0.10164948674573976,1.3000245074339445
ssw__wt_glyc__1,3.0823683864379183,0.43745528223498875,0.20567484602899352
ssw__wt_xyl__1,3.4416566112042632,0.5965191484057657,0.5400858172610115
ssw__glc_ale1__1,3.3570416028261425,0.5606064037402458,3.1095093234411544
ssw__glc_ale2__1,2.43628799069712,0.09810067028444758,2.349104051541238
ssw__glc_ale3__1,3.3223813593339995,0.5456336701641264,3.237302509319338
ssw__glyc_ale1__1,2.930078159398587,0.36435513653619117,0.3069906412157817
ssw__glyc_ale2__1,3.235173277765251,0.5072589735739761,0.39656073382377466
ssw__xyl_ale1__1,2.088077853683334,-0.12440850871167786,0.25992796789601247
ssw__xyl_ale2__1,1.9451946414591441,-0.2266694898812459,0.16074397810473828
ssw__xyl_ale3__1,1.8054808739493051,-0.33420087487395067,0.19157676452859215
ssw__glc_ac_ac2__1,2.2863344349750356,0.006452437792275445,0.16530453156369157
ssw__glc_ac_glc1__1,1.9547478838587418,-0.21960146623119492,0.9024850323397829
ssw__glc_ac_glc2__1,4.003485112817164,0.8146724291689815,2.9171079189606353
ssw__glc_glyc_glc__1,2.541093964416279,0.15886571196610252,1.9547007440859707
ssw__glc_glyc_glyc__1,2.726015007847136,0.2602094925016107,0.28079778420649415
ssw__glc_xyl_glc__1,2.481498832316919,0.12462776346701655,2.02846961980403
ssw__glc_xyl_xyl__1,2.733772432021627,0.26430914108350423,0.1899990836123659
pgi__glu4_delpgi__1,2.407622444153951,0.08102515859602138,0.7815508889614965
pgi__pgi_ale1__1,2.594992638332567,0.18914643354475114,1.2837845749488717
pgi__pgi_ale2__1,2.141112346462856,-0.08822351483325541,0.9820317642405237
pgi__pgi_ale3__1,2.482258794355742,0.12506952293865095,1.5312620882129824
pgi__pgi_ale5__1,2.5290891106718876,0.15203385793940646,2.017571378100192
pgi__pgi_ale6__1,2.617527451288305,0.20162065518266759,1.1809414844584918
pgi__pgi_ale7__1,1.8199122237690615,-0.32271514285783337,2.2850212741234714
pgi__pgi_ale8__1,2.217146886678965,-0.03787965992810337,1.0379172725376138
ica__wt_glc__1,3.019244017373488,0.40760334886689986,3.2473816410488956
ica__wt_glc__2,3.0917411017346197,0.4418355026672276,3.220715777858604
ica__wt_glc__3,2.2072653926204384,-0.044323908464770224,2.271103533768411
ica__wt_glc__4,2.1657109771372185,-0.07174328997836169,1.970933353198241
ica__arg_sbt__1,2.7955113541796446,0.296528192293504,1.0601536662673934
ica__arg_sbt__2,3.1963244883742106,0.48982986467834533,1.1242189633950874
ica__cytd_rib__1,3.8482637192769067,0.7576236572487327,0.5070613783225593
ica__cytd_rib__2,3.480405333161958,0.6126713219606786,0.5221713345384904
ica__gth__1,0.6536347700825651,-1.800027377541794,0.4674014735684611
ica__gth__2,0.6790204230507286,-1.7450571397999748,0.3825961260860471
ica__leu_glcr__1,2.92396768122202,0.3613433528896669,0.4042982027103603
ica__leu_glcr__2,2.7363681161534115,0.26567831281601395,0.38825777876884154
ica__met_glc__1,2.7411375770696496,0.2681907262158095,3.253771290747355
ica__met_glc__2,2.6825759883007763,0.2370350259295098,3.134467804731909
ica__no3_anaero__1,1.5947369310096713,-0.5132655567297126,0.8443289319755917
ica__no3_anaero__2,1.5191185043005828,-0.5833495954565724,0.7665135883697844
ica__phe_acgam__1,2.854574830318071,0.3266918695859985,2.78383219281341
ica__phe_acgam__2,2.813485276341857,0.30577440113841725,2.7946639507273
ica__thm_gal__1,2.2316120188321884,-0.0284977858323352,0.429221623824192
ica__thm_gal__2,2.133241546630245,-0.09353668122264402,0.4521871951064533
ica__tyr_glcn__1,2.1302956216538886,-0.09553036480640492,0.30472288259690417
ica__tyr_glcn__2,2.139206339083792,-0.08950836662931927,0.31320157932988874
ica__ura_pyr__1,2.58945028040121,0.1860618454901592,1.1973068072472277
ica__ura_pyr__2,2.207114935508017,-0.04442225238346553,0.30789227418659637
ica__wt_glc__5,2.65745673747146,0.2234621930430522,3.0319430019994247
ica__wt_glc__6,2.4520212317443515,0.10738745889821906,2.948203033012197
ica__bw_delpurR_cytd__1,2.3669300646125007,0.056433067271773545,2.1627169057872457
ica__bw_delpurR_cytd__2,2.474820753235759,0.12074002489929958,2.2751679365124264
ica__ade_glc__1,1.8757699706997606,-0.2791010940833466,2.8797946680887296
ica__ade_glc__2,1.9303217203429612,-0.23774269555146604,2.8945567741077474
ytf__wt_glc__1,2.5532463094258757,0.16574870768027022,2.016775746446596
ytf__wt_glc__2,2.6903030166724773,0.24118466458242982,1.9755934862337188
ytf__delyafC__1,3.9218122517074345,0.7849364589735569,2.8749556883683387
ytf__delyafC__2,3.584171519170282,0.6550556663721581,2.7104315594730015
ytf__delyeiE__1,2.8138649319435887,0.3059690672723617,2.568071304913251
ytf__delyeiE__2,2.7499718465294656,0.27283283648994,2.0703788571238855
ytf__delyiaJ__1,3.1788973352784806,0.481942412078908,2.540076156512964
ytf__delyiaJ__2,3.136814424039649,0.4627161686389045,1.802985066778605
ytf__delyieP__1,3.387738814406688,0.5737386387321509,2.9362640558244713
ytf__delyieP__2,2.9677543596337754,0.3827876730536167,2.388294932668853
ytf__wt_ph5__1,2.1076317371826474,-0.11096120289290096,1.7732170224474737
ytf__wt_ph5__2,2.0421569858753617,-0.15649023813203455,1.600184265751879
ytf__wt_ph8__1,2.053844030379445,-0.14825738524068152,1.7083055148811706
ytf__wt_ph8__2,2.0940878931061055,-0.12026201593042696,1.6710383661634984
ytf__delybaO__1,4.370119600580261,0.9410887513624625,3.1676139648938295
ytf__delybaO__2,4.057196892562807,0.8338993047946757,3.2670400466065583
ytf__delybaQ__1,2.2224014445848863,-0.03446457010042906,1.9269250439674241
ytf__delybaQ__2,2.0625221970912597,-0.14217436641492137,2.007608380826481
ytf__delybiH__1,3.061285472456691,0.42755357372595676,2.138093519292311
ytf__delybiH__2,3.1635058250451045,0.47494024002690416,2.4777936731522217
ytf__delydcI_ph5__1,2.230170377692753,-0.029430080780920985,1.9519272189854122
ytf__delydcI_ph5__2,2.3191522052606417,0.027013494432038383,1.8357702670132345
ytf__delydcI_ph8__1,2.0579394963274615,-0.14538344485502702,1.6109371842423024
ytf__delydcI_ph8__2,2.3719651360461493,0.05949879251521098,1.7220470820128921
ytf__delyddM__1,1.9292350586351013,-0.23855507976460527,1.550284510264228
ytf__delyddM__2,1.8459472140070818,-0.3022227134761373,1.4976571991516068
ytf__delyheO__1,4.323005320417183,0.9254505994912461,3.1662602216429327
ytf__delyheO__2,4.36559547524113,0.9395944412303217,3.313711578339955
fps__bw_glc__1,2.1772474270707987,-0.06407864449629441,2.500458999854463
fps__bw_glc__2,2.1075515718684255,-0.11101607789728948,2.5671641937948104
fps__fps_thrA_ale1__1,2.2145431034242757,-0.03957493447561222,1.377508625022278
fps__fps_thrA_ale1__2,2.2293362242620653,-0.029969794762418553,1.5229693837271474
fps__fps_thrA_ale2__1,2.391878407980759,0.07156003916667572,1.1428312414347974
fps__fps_thrA_ale2__2,2.2771752537759364,0.0006613147581387563,1.1546905959420857
fps__fps_serB_ale1__1,2.207843791794661,-0.043945909375630934,1.321203660277315
fps__fps_serB_ale1__2,2.231939602014918,-0.028286025030985235,1.3862097118662065
fps__fps_serB_ale4__1,1.2030526651864786,-0.9198842125621696,0.27193227141730897
fps__fps_serB_ale4__2,1.1467834414182714,-0.9889910337531631,0.3190746140082946
fps__fps_ptsI_ale1__1,9.841549132524205,2.1123014119946175,3.720646624085272
fps__fps_ptsI_ale1__2,10.4604664888169,2.2002912731871467,3.582511281225575
fps__fps_ptsI_ale3__1,8.876212783456898,1.9633602404037496,3.51323764208243
fps__fps_ptsI_ale3__2,9.423567054049833,2.049689246804365,3.6975251670472824
pal__lyx_ale2_f6__1,1.6957454493667035,-0.424664391041752,0.3279062801511661
pal__lyx_ale2__1,2.0758150417999337,-0.1329061091463526,0.21062446113533276
pal__lyx_ale2__2,2.29158708710649,0.009763101144838027,0.23915276974677047
pal__lyx_ale4__1,2.0758150417999337,-0.1329061091463526,0.21062446113533276
pal__lyx_ale4__2,2.29158708710649,0.009763101144838027,0.23915276974677047
pal__5drib_ale10_f18__1,1.6264541475837846,-0.48485386129256847,0.1393763727063974
pal__5drib_ale10_f18__2,1.7380309321462974,-0.38913025393539713,0.13571101316293663
pal__5drib_ale10__1,2.0107272887550587,-0.17886658746438222,0.22825262601101315
pal__arab_ale14_f9__1,2.2046668037906394,-0.04602337776061688,0.32881444460944487
pal__arab_ale14_f9__2,2.179032926221152,-0.06289601587505661,0.3414590213171646
pal__arab_ale14__1,2.2187095210826655,-0.03686321359126998,0.247833600876695
pal__arab_ale14__2,2.2516657853288433,-0.015591308163883988,0.24749494747878165
pal__arab_ale16__1,1.8740770424245294,-0.28040374957016695,0.16416419762686482
pal__arab_ale16__2,1.5483393384740969,-0.5558623209966507,0.17632287163619403
pal__tartr_ale26_f10__1,1.7012196283161753,-0.4200146066140896,0.1966859574842646
pal__tartr_ale26_f10__2,1.7309252145613285,-0.39504061856728045,0.20701897822551502
pal__tartr_ale26__1,1.8271699819411973,-0.3169731579206616,0.2402877495039322
pal__tartr_ale26__2,1.8761811456697504,-0.2787848852234125,0.2346494614310994
pal__tartr_ale28_f10__1,1.6390291564210357,-0.47374249376872646,0.3154555907725828
pal__tartr_ale28_f10__2,1.4941567220123102,-0.6072525320365532,0.227117098630047
pal__tartr_ale28__1,2.23184485093359,-0.028347272125961553,0.20814392135914933
pal__tartr_ale28__2,1.6825026100646463,-0.43597526941127185,0.1641471720398125
efeU__delmenFentC_citr__1,2.511408287122931,0.1419125786050831,2.1671913429758196
efeU__delmenFentC_citr__2,2.83131729415098,0.31488942293715894,2.3509947198263554
efeU__delmenFentC__1,1.3328347496128092,-0.7720860921077498,0.7259606823286943
efeU__delmenFentC__2,1.3961912993525951,-0.705087386139772,0.7436620904057661
efeU__menFentC_ale39__1,3.688261554328026,0.6963569563067153,4.279087681218546
efeU__menFentC_ale39__2,4.028450818691453,0.8236411302047711,4.403558363860743
efeU__menFentC_ale29__1,3.230066373713031,0.5049797984528811,3.1623853888271385
efeU__menFentC_ale29__2,2.9911248949438574,0.3941041393990735,3.1671768650202456
efeU__menFentC_ale30__1,2.5043937329532358,0.13787738380609874,3.4961816012077596
efeU__menFentC_ale30__2,2.683609482158105,0.23759073407243586,3.3248852308605747
efeU__menFentCubiC_ale36__1,1.9269969511631448,-0.2402297232534382,2.1378432389059854
efeU__menFentCubiC_ale36__2,1.946211252900786,-0.2259156953100562,2.094937606069487
efeU__menFentCubiC_ale37__1,2.1588525862795036,-0.07631927764933988,1.7389101704997327
efeU__menFentCubiC_ale37__2,2.105223459408918,-0.11261063569681687,1.6797860007798506
efeU__menFentCubiC_ale38__1,2.016822426354443,-0.174499946641416,1.813269986389956
efeU__menFentCubiC_ale38__2,1.8017270159642065,-0.3372035708202728,1.7245148209905106
