,b1817,b1818,b1819,b1101
p1k_00067,0.2395180225756449,0.2492406246786701,0.2358321700486103,0.2493202013345671
p1k_00068,0.3018766852415362,0.3782778486386662,0.4300126498872932,0.6124783773940197
p1k_00069,0.6325639387277693,0.7215692390395688,0.713670765562966,1.3208420633883469
p1k_00070,0.6032703426729125,0.7177636872550862,0.6725010330719763,1.2848959983730646
p1k_00071,0.594211839147395,0.7578765557657241,0.7260056057785977,1.398351022326787
p1k_00072,0.5794011772306389,0.7483197453296275,0.7140281125790501,1.3996978606128627
p1k_00073,0.6619682982767329,1.065740471788315,0.9795340645206114,1.3961311480259129
p1k_00074,0.7265817962009093,1.3706567433623318,1.2103201868786388,1.509623221278878
p1k_00075,3.705171470192589,5.1043712369259735,4.26335218883971,3.071600845430003
p1k_00076,1.3301358415228524,1.4472316648423769,1.2165563606226866,2.023400308225757
p1k_00077,1.3602768636707938,1.5169966387809948,1.2319920009796683,2.085373499797732
p1k_00078,2.9833766731795497,3.747559772688577,3.5140882658571626,2.654395802466755
p1k_00079,1.8362958327995125,2.378586182625975,2.0128490709392075,2.9376594901809905
p1k_00080,0.3926844675174488,0.6840323251855241,0.6338526631520557,1.1366650684364072
p1k_00081,0.3944925715245354,0.421000281191735,0.4471379452760237,1.1102071395776083
p1k_00082,0.6275759619889127,0.4895078883654957,0.3176414718968472,0.2816285204786936
p1k_00083,0.5865759260221785,0.4902210439849068,0.3124935687677834,0.2731475681876917
p1k_00084,1.2451127758179592,1.0272418895883588,0.5490719654257948,0.4440366902886439
p1k_00085,1.2350978130849608,0.8911336500696312,0.5325414544279138,0.3826102352467348
p1k_00086,0.6005907460420993,0.6144637431404608,0.5752945969900222,0.1306230828426201
p1k_00087,0.5408125859695293,0.6430812833148521,0.6153433888580591,0.1403817223884953
p1k_00088,0.2211852930708165,0.2557690659870396,0.2464117648845221,0.2885829221076671
p1k_00089,0.2141164104424835,0.248827284641958,0.2589837050131075,0.2899595147808084
p1k_00090,0.551040084426625,0.586409600868323,0.555915478849345,0.9994107642803682
p1k_00091,0.5518132722425604,0.5875417302146708,0.5505636313848926,1.007159511493258
p1k_00092,2.462326716355337,2.791646715092673,2.9980425915290376,2.109106987823472
p1k_00093,0.7702186959405452,0.863230749086315,0.8725797986747745,1.2487745754201491
p1k_00094,0.4568557290069696,0.4842237104362936,0.4351661647683033,0.3088612978136362
p1k_00095,0.462609174818348,0.4715650734743346,0.4516018117239009,0.3157017817426641
p1k_00096,2.1965424789656707,2.41257372354594,2.4184803214593127,1.7882941255813387
p1k_00097,1.9663599678398844,2.196645189531132,2.0702441499422237,1.8012479394249954
p1k_00098,0.4469418398209964,0.5580418506816317,0.5506782645182268,0.4183955014336667
p1k_00099,0.4536442060950527,0.5580274535934071,0.533043818971391,0.4465424128639315
p1k_00100,0.7220916540279826,0.8283561661079117,1.0550591548916195,1.292785587911855
p1k_00101,0.7524179255265171,0.8277088677042235,0.8272066461084546,1.635277187122056
p1k_00102,0.7706987183960543,0.8291994381401301,0.8010156394737508,1.700747655099558
p1k_00103,0.2684763482594238,0.3240596266265697,0.3271430711426161,0.3344518489384347
p1k_00104,0.2634712871482286,0.3130935899055891,0.3110039698388659,0.3282359473594857
p1k_00105,0.6205496187277405,0.6798389068073923,0.6501888694816881,0.3138825467339249
p1k_00106,0.4542884275315692,0.5430533023339137,0.5643677368452444,0.2236413700007821
