,model,im,train_auc,test_auc
2,LR,FlhDC-1,0.9970553070894035,0.3222871994801819
3,LR,FlhDC-1,0.9940884736306072,0.3671215074723847
4,LR,FlhDC-1,0.9959761960227874,0.7820662768031189
0,LR,FlhDC-2,1.0,0.9809197651663405
1,LR,FlhDC-2,1.0,0.649706457925636
2,LR,FlhDC-2,0.9999388154674499,0.37426614481409004
3,LR,FlhDC-2,0.9999847038668624,0.6643835616438356
4,LR,FlhDC-2,1.0,0.6129901960784314
0,LR,Fimbriae,1.0,1.0
1,LR,Fimbriae,1.0,1.0
2,LR,Fimbriae,1.0,1.0
3,LR,Fimbriae,1.0,1.0
4,LR,Fimbriae,1.0,1.0
0,SVM,AllR,1.0,0.29328165374677
1,SVM,AllR,1.0,0.8320413436692506
2,SVM,AllR,0.999962694919048,1.0
3,SVM,AllR,0.9999192115042818,0.891990291262136
4,SVM,AllR,1.0,0.8045307443365696
0,SVM,ArcA,1.0,0.7868745938921378
1,SVM,ArcA,1.0,0.7946718648473035
2,SVM,ArcA,1.0,0.7034040178571428
3,SVM,ArcA,1.0,0.8303571428571428
4,SVM,ArcA,1.0,0.8414713541666667
0,SVM,ArgR,1.0,0.8587378640776698
1,SVM,ArgR,1.0,0.996116504854369
2,SVM,ArgR,1.0,0.8082524271844661
3,SVM,ArgR,1.0,1.0
4,SVM,ArgR,1.0,0.9985408560311284
0,SVM,ArgP,1.0,0.9053398058252428
1,SVM,ArgP,1.0,0.8398058252427184
2,SVM,ArgP,1.0,0.7485436893203883
3,SVM,ArgP,1.0,1.0
4,SVM,ArgP,1.0,0.9691147859922179
0,SVM,BaeR+CpxR,0.9997581035316884,0.32398452611218564
1,SVM,BaeR+CpxR,0.9999395258829221,0.9980657640232108
2,SVM,BaeR+CpxR,0.9998790517658442,0.9980657640232108
3,SVM,BaeR+CpxR,0.9996371552975327,0.5009671179883946
4,SVM,BaeR+CpxR,0.999818665377176,0.33236434108527135
0,SVM,CpxR,0.9999825528648196,0.7399553571428571
1,SVM,CpxR,0.9999302114592784,0.5424107142857142
2,SVM,CpxR,0.999912764324098,0.6397879464285714
3,SVM,CpxR,1.0,0.7315848214285714
4,SVM,CpxR,1.0,0.808778305842885
0,SVM,CdaR,1.0,0.019305019305019266
1,SVM,CdaR,1.0,1.0
2,SVM,CdaR,1.0,1.0
3,SVM,CdaR,1.0,1.0
4,SVM,CdaR,1.0,1.0
0,SVM,Cra,1.0,0.9758220502901354
1,SVM,Cra,1.0,1.0
2,SVM,Cra,1.0,0.9916020671834624
3,SVM,Cra,1.0,0.9483204134366925
4,SVM,Cra,1.0,0.9874031007751938
0,SVM,Crp-related-2,0.9999033816425121,1.0
1,SVM,Crp-related-2,0.9998067632850242,1.0
2,SVM,Crp-related-2,1.0,0.9980694980694981
3,SVM,Crp-related-2,1.0,0.9206963249516441
4,SVM,Crp-related-2,0.9999034282955095,0.28433268858800775
0,SVM,EvgA,1.0,0.8242894056847545
1,SVM,EvgA,1.0,0.9457364341085271
2,SVM,EvgA,1.0,0.9366925064599484
3,SVM,EvgA,1.0,1.0
4,SVM,EvgA,1.0,0.6405038759689923
0,SVM,CysB-1,1.0,0.6237864077669903
1,SVM,CysB-1,1.0,0.9296116504854369
2,SVM,CysB-1,1.0,0.9957198443579767
3,SVM,CysB-1,1.0,0.9953307392996109
4,SVM,CysB-1,1.0,0.9766536964980544
0,SVM,CysB-2,0.9996371552975326,0.9129593810444874
1,SVM,CysB-2,1.0,0.9206963249516441
2,SVM,CysB-2,0.9995766811804547,1.0
3,SVM,CysB-2,0.9996976294146105,0.971953578336557
4,SVM,CysB-2,0.999637330754352,0.9680232558139535
0,SVM,CysB-3,1.0,1.0
1,SVM,CysB-3,1.0,1.0
2,SVM,CysB-3,1.0,1.0
3,SVM,CysB-3,1.0,0.7680878552971576
4,SVM,CysB-3,1.0,0.8895348837209303
0,SVM,FadR,1.0,0.8481624758220503
1,SVM,FadR,1.0,0.5986460348162477
2,SVM,FadR,1.0,0.6576402321083172
3,SVM,FadR,1.0,0.9990328820116053
4,SVM,FadR,1.0,1.0
0,SVM,FlhDC-1,0.9986651411136537,0.985603112840467
1,SVM,FlhDC-1,0.9989372536864013,0.737491877842755
2,SVM,FlhDC-1,0.9980959128548023,0.744314489928525
3,SVM,FlhDC-1,0.9965903555772041,0.6721897335932423
4,SVM,FlhDC-1,0.9979457421800547,0.38128654970760234
0,SVM,FlhDC-2,1.0,0.9987769080234834
1,SVM,FlhDC-2,1.0,0.8057729941291585
2,SVM,FlhDC-2,1.0,0.3701076320939334
3,SVM,FlhDC-2,1.0,0.9224559686888454
4,SVM,FlhDC-2,1.0,0.41887254901960785
0,SVM,Fimbriae,1.0,1.0
1,SVM,Fimbriae,1.0,1.0
2,SVM,Fimbriae,1.0,1.0
3,SVM,Fimbriae,1.0,1.0
4,SVM,Fimbriae,1.0,1.0
0,RF,AllR,1.0,0.7209302325581395
1,RF,AllR,1.0,0.7690568475452195
2,RF,AllR,1.0,0.9961240310077519
3,RF,AllR,1.0,0.5483009708737864
4,RF,AllR,1.0,0.45048543689320386
0,RF,ArcA,1.0,0.8118908382066277
1,RF,ArcA,1.0,0.7493502274204029
2,RF,ArcA,1.0,0.7512555803571428
3,RF,ArcA,1.0,0.7816685267857142
4,RF,ArcA,1.0,0.650390625
0,RF,ArgR,1.0,0.7910194174757281
1,RF,ArgR,1.0,0.8716019417475728
2,RF,ArgR,1.0,0.7822815533980583
3,RF,ArgR,1.0,1.0
4,RF,ArgR,1.0,0.9270428015564202
0,RF,ArgP,1.0,0.6077669902912621
1,RF,ArgP,1.0,0.6398058252427186
2,RF,ArgP,1.0,0.4679611650485437
3,RF,ArgP,1.0,1.0
4,RF,ArgP,1.0,0.7932879377431906
0,RF,BaeR+CpxR,1.0,0.3529980657640232
1,RF,BaeR+CpxR,1.0,0.9990328820116054
2,RF,BaeR+CpxR,1.0,0.9990328820116054
3,RF,BaeR+CpxR,1.0,0.7079303675048356
4,RF,BaeR+CpxR,1.0,0.4573643410852713
0,RF,CpxR,1.0,0.7068917410714287
1,RF,CpxR,1.0,0.6357421875
2,RF,CpxR,1.0,0.6096540178571429
3,RF,CpxR,1.0,0.4878627232142857
4,RF,CpxR,1.0,0.7176404808498742
0,RF,CdaR,1.0,0.4083011583011583
1,RF,CdaR,1.0,1.0
2,RF,CdaR,1.0,1.0
3,RF,CdaR,1.0,1.0
4,RF,CdaR,1.0,1.0
0,RF,Cra,1.0,0.8302707930367506
1,RF,Cra,1.0,1.0
2,RF,Cra,1.0,0.7571059431524547
3,RF,Cra,1.0,0.8711240310077519
4,RF,Cra,1.0,0.9714147286821705
0,RF,Crp-related-2,1.0,1.0
1,RF,Crp-related-2,1.0,1.0
2,RF,Crp-related-2,1.0,0.9980694980694981
3,RF,Crp-related-2,1.0,0.4516441005802708
4,RF,Crp-related-2,1.0,0.48065764023210833
0,RF,EvgA,1.0,0.7839147286821705
1,RF,EvgA,1.0,0.9935400516795867
2,RF,EvgA,1.0,0.9961240310077519
3,RF,EvgA,1.0,0.9999999999999999
4,RF,EvgA,1.0,0.9830426356589147
0,RF,CysB-1,1.0,0.9655339805825243
1,RF,CysB-1,1.0,0.8179611650485438
2,RF,CysB-1,1.0,1.0
3,RF,CysB-1,1.0,0.9976653696498055
4,RF,CysB-1,1.0,0.8939688715953308
0,RF,CysB-2,1.0,0.9497098646034816
1,RF,CysB-2,1.0,0.5735009671179884
2,RF,CysB-2,1.0,0.9941972920696326
3,RF,CysB-2,1.0,0.9705029013539652
4,RF,CysB-2,1.0,0.4573643410852713
0,RF,CysB-3,1.0,1.0
1,RF,CysB-3,1.0,1.0
2,RF,CysB-3,1.0,1.0
3,RF,CysB-3,1.0,0.5329457364341085
4,RF,CysB-3,1.0,0.7194767441860466
0,RF,FadR,1.0,0.5754352030947775
1,RF,FadR,1.0,0.8438104448742747
2,RF,FadR,1.0,0.7147001934235977
3,RF,FadR,1.0,0.973404255319149
4,RF,FadR,1.0,0.9224806201550387
0,RF,FlhDC-1,1.0,0.9896887159533074
1,RF,FlhDC-1,1.0,0.8984730344379468
2,RF,FlhDC-1,1.0,0.6426250812215725
3,RF,FlhDC-1,1.0,0.7347303443794672
4,RF,FlhDC-1,1.0,0.9781676413255361
0,RF,FlhDC-2,1.0,0.9986545988258317
1,RF,FlhDC-2,1.0,0.7126956947162427
2,RF,FlhDC-2,1.0,0.9987769080234834
3,RF,FlhDC-2,1.0,0.9955968688845401
4,RF,FlhDC-2,1.0,0.9879901960784313
0,RF,Fimbriae,1.0,1.0
1,RF,Fimbriae,1.0,1.0
2,RF,Fimbriae,1.0,1.0
3,RF,Fimbriae,1.0,1.0
4,RF,Fimbriae,1.0,1.0
