,im_name,tf,genes
41,GatR+Crp,gatR+crp,"['b4267', 'b3403', 'b1820', 'b4021', 'b1415', 'b2240', 'b3001', 'b2148', 'b2149', 'b0553', 'b2150', 'b2597', 'b1819', 'b1818', 'b1817', 'b1426', 'b4498', 'b2096', 'b2095', 'b2094', 'b2091', 'b2092', 'b2093']"
42,AraC/AllR/FucR,araC/allR/fucR,"['b4460', 'b2804', 'b1900', 'b0513', 'b2799', 'b2841', 'b2803', 'b2800', 'b2802', 'b2801', 'b1901', 'b0062', 'b0511', 'b0063', 'b0061', 'b0505', 'b0512', 'b0507', 'b0508', 'b0509']"
43,FecI,Sigma19,"['b0593', 'b0595', 'b0596', 'b4287', 'b4288', 'b4289', 'b4290', 'b4291']"
44,IscR,iscR,"['b1679', 'b1680', 'b1684', 'b1683', 'b1681', 'b1682']"
45,LexA,lexA,"['b4058', 'b1741', 'b4613', 'b0060', 'b4044', 'b4043', 'b1847', 'b0231', 'b3645', 'b2699', 'b1061', 'b1184', 'b2698', 'b1848', 'b1183', 'b4618', 'b2616', 'b0958']"
46,YcjW,ycjW,"['b1686', 'b1687', 'b0197', 'b1320', 'b3769', 'b1316', 'b1315', 'b1596', 'b4524', 'b1313', 'b1311', 'b1317', 'b1319', 'b1314', 'b1312', 'b1318', 'b1310', 'b1309']"
47,RyhB/IscR,ryhB/iscR,"['b3414', 'b2522', 'b2523', 'b2524', 'b2526', 'b2525', 'b2528', 'b2527', 'b2529', 'b2531', 'b2530']"
48,Leucine,leuO,"['b0074', 'b0071', 'b0073', 'b0072']"
49,RbsR,rbsR,"['b3753', 'b2416', 'b3752', 'b3751', 'b3750', 'b3749', 'b3748']"
50,CsqR,csqR,"['b3884', 'b3876', 'b3883', 'b3875', 'b3877', 'b3879', 'b3878', 'b3880', 'b3881', 'b3882']"
51,LsrR,lsrR,"['b4305', 'b3709', 'b4755', 'b4227', 'b1511', 'b1512', 'b4565', 'b1514', 'b1515', 'b1517', 'b1513', 'b1518', 'b1516']"
52,AppY-2,appY,"['b0978', 'b2261', 'b2260', 'b0980', 'b0979', 'b4592']"
53,Cra,cra,"['b0080', 'b1702', 'b4232', 'b2925', 'b2926', 'b3365', 'b3612', 'b2165', 'b1241', 'b2166', 'b2927', 'b2167', 'b2168', 'b2169']"
54,NrdR,nrdR,"['b4237', 'b4238', 'b2676', 'b2675', 'b2674', 'b2673']"
55,Histidine,histidine,"['b4388', 'b2026', 'b2019', 'b2025', 'b2024', 'b2022', 'b2020', 'b2023', 'b2021']"
56,Zur,zur,"['b3469', 'b2106', 'b0123', 'b0484', 'b1859', 'b1858', 'b1974', 'b1856', 'b1178', 'b1857', 'b4506', 'b0296', 'b1973']"
57,Copper,yedW,"['b1969', 'b1968', 'b0576', 'b0123', 'b0484', 'b0570', 'b0571', 'b0575', 'b0574', 'b0572', 'b0573']"
58,XylR,xylR,"['b3562', 'b3563', 'b3569', 'b3656', 'b0271', 'b3657', 'b0270', 'b3568', 'b3567', 'b3564', 'b4031', 'b3566', 'b3565']"
59,GlpR,glpR,"['b3925', 'b2239', 'b2240', 'b2243', 'b3926', 'b3927', 'b2242', 'b2241', 'b3426']"
60,CdaR,cdaR,"['b1781', 'b1800', 'b0162', 'b3128', 'b3124', 'b2787', 'b2788', 'b3125', 'b2789', 'b3126', 'b3127']"
61,RpoH,Sigma32,"['b4034', 'b1114', 'b3179', 'b1780', 'b1779', 'b1060', 'b4171', 'b3399', 'b0439', 'b1380', 'b3292', 'b3293', 'b3497', 'b3498', 'b0659', 'b0660', 'b2394', 'b0966', 'b0582', 'b3343', 'b0631', 'b0016', 'b0492', 'b3401', 'b3400', 'b3635', 'b2614', 'b3931', 'b1322', 'b3932', 'b4140', 'b1321', 'b2592', 'b0015', 'b4143', 'b4142', 'b0473', 'b0014', 'b3687', 'b3686']"
62,YiaJ,yiaJ,"['b3574', 'b3583', 'b3580', 'b3582', 'b3578', 'b3581', 'b3579', 'b3577', 'b3575', 'b3576']"
63,FlhDC,flhD;flhC,"['b1951', 'b1926', 'b1083', 'b1070', 'b1925', 'b1924', 'b1071', 'b1082', 'b4495', 'b1043', 'b1879', 'b1950', 'b1044', 'b1943', 'b1921', 'b1878', 'b1949', 'b1880', 'b1948', 'b1081', 'b1904', 'b1080', 'b1942', 'b1947', 'b1072', 'b1922', 'b1941', 'b1939', 'b1079', 'b1940', 'b1945', 'b1946', 'b1078', 'b1937', 'b1077', 'b1944', 'b1076', 'b1938', 'b1075', 'b1074', 'b1073']"
64,KdpE,kdpE,"['b0695', 'b0694', 'b0696', 'b0697', 'b4513', 'b0698']"
65,GadEWX,gadE+gadW+gadX,"['b1250', 'b1625', 'b4377', 'b0978', 'b4187', 'b0486', 'b2217', 'b0485', 'b3514', 'b3507', 'b3491', 'b3506', 'b3513', 'b3512', 'b1492', 'b3508', 'b3510', 'b1493', 'b3517', 'b3511', 'b3509']"
66,ArgR,argR,"['b0861', 'b2306', 'b0862', 'b0863', 'b3744', 'b0864', 'b2307', 'b2309', 'b2308', 'b0033', 'b0709', 'b3957', 'b0032', 'b0272', 'b3359', 'b3960', 'b3172', 'b3959', 'b0860', 'b2818', 'b0273', 'b3958', 'b4254']"
67,GlcC,glcC,"['b2975', 'b2976', 'b4467', 'b2977', 'b4468', 'b2979']"
68,IclR,iclR,"['b2210', 'b4014', 'b4016', 'b4015']"
69,FliA,Sigma28,"['b1112', 'b0764', 'b0765', 'b0763', 'b0250', 'b3524', 'b3072', 'b4109', 'b1071', 'b1070', 'b1760', 'b1421', 'b1926', 'b1083', 'b1925', 'b1082', 'b3666', 'b1924', 'b1742', 'b1566', 'b4110', 'b1881', 'b1883', 'b1882', 'b1884', 'b4355', 'b1889', 'b1194', 'b1888', 'b1887', 'b1890', 'b3525', 'b1885', 'b1886', 'b1923']"
70,Tryptophan,trpR,"['b3709', 'b3708', 'b1704', 'b1260', 'b3161', 'b1261', 'b1262', 'b1264', 'b1263']"
71,FhlA,fhlA,"['b2210', 'b2719', 'b2721', 'b2720', 'b2722', 'b2723', 'b2713', 'b2724', 'b2725']"
72,GntR,gntR,"['b0112', 'b1907', 'b3892', 'b4264', 'b1850', 'b3893', 'b1851', 'b4265', 'b3415', 'b4476', 'b4268', 'b3437', 'b4266', 'b4267']"
73,ExuR/FucR,exuR/fucR,"['b4322', 'b3011', 'b1351', 'b1352', 'b2172', 'b3093', 'b2804', 'b3091', 'b3092', 'b1521', 'b2803', 'b2799', 'b2802', 'b2801', 'b2800']"
74,PurR-2,purR,"['b0945', 'b4246', 'b2498', 'b0034', 'b4243', 'b0337', 'b0032', 'b0033', 'b0336', 'b2497', 'b4244', 'b4245']"
75,MetJ,metJ,"['b3938', 'b0197', 'b3937', 'b0261', 'b3008', 'b0198', 'b3940', 'b2942', 'b0599', 'b3829', 'b0199', 'b3939', 'b0260', 'b0600', 'b3828', 'b4013', 'b3941']"
76,Fimbriae,h-NS,"['b0002', 'b4320', 'b4318', 'b4319', 'b4317', 'b4316', 'b4315', 'b4314']"
77,MarR,marR,"['b4512', 'b3241', 'b1531', 'b1530', 'b3242', 'b1532', 'b3238', 'b1112']"
78,ArgP,argP,"['b0166', 'b4687', 'b1800', 'b0164', 'b2574', 'b3328', 'b4533', 'b4756', 'b3429', 'b3744', 'b0460', 'b3430', 'b2156', 'b2838', 'b3431', 'b3432', 'b3433', 'b3326', 'b4023', 'b3325', 'b1761', 'b3324', 'b0031', 'b4024']"
79,YieP,yieP,"['b3755', 'b1206', 'b1661', 'b2143', 'b4116', 'b0308', 'b0307', 'b2142', 'b0306', 'b2141']"
80,Fur-2,fur,"['b1905', 'b1674', 'b1673', 'b0597', 'b2146', 'b1821', 'b0804', 'b0596', 'b1496', 'b1018', 'b4511', 'b2106', 'b2673', 'b2674', 'b0152', 'b3908', 'b1705', 'b3070', 'b0151', 'b0593', 'b0585', 'b4490', 'b3410', 'b0589', 'b2211', 'b0468', 'b0588', 'b0592', 'b4292', 'b1452', 'b0591', 'b3409', 'b4293', 'b0590', 'b3005', 'b1252', 'b3408', 'b0150', 'b3006', 'b3337', 'b4367']"
81,CpxR,cpxR,"['b0287', 'b4490', 'b1655', 'b1205', 'b1968', 'b0570', 'b2666', 'b3461', 'b1424', 'b1816', 'b0839', 'b4038', 'b0925', 'b2504', 'b0837', 'b1552', 'b0496', 'b3263', 'b3038', 'b4170', 'b4392', 'b1599', 'b3037', 'b0161', 'b4313', 'b3363', 'b4751', 'b1969', 'b4171', 'b1743', 'b1785', 'b0571', 'b3096', 'b0484', 'b1600', 'b3095', 'b0459', 'b1601', 'b0495', 'b3088', 'b0123', 'b0460', 'b3859', 'b2597', 'b1814', 'b0461', 'b0970', 'b1902', 'b4188', 'b1829', 'b1216', 'b1846', 'b1843', 'b1113', 'b1535', 'b1436', 'b4484']"
82,PaaX,paaX,"['b1395', 'b1747', 'b1014', 'b1394', 'b1393', 'b1387', 'b1392', 'b1391', 'b1390', 'b1388', 'b1389']"
83,ArcA-1,arcA,"['b0848', 'b0564', 'b0559', 'b0558', 'b2847', 'b0904', 'b0580', 'b3452', 'b0720', 'b0817', 'b3523', 'b3002', 'b1533', 'b1165', 'b0598', 'b1297', 'b3819', 'b3350', 'b2151', 'b1164', 'b2172', 'b1256', 'b4210', 'b1190', 'b3425', 'b3995', 'b3397', 'b4705', 'b3846', 'b4332', 'b2110', 'b0124', 'b3604', 'b0836', 'b4663', 'b1189', 'b1384', 'b1014', 'b0330', 'b0314', 'b2342', 'b0312', 'b0240', 'b1298', 'b2582', 'b2310', 'b1332', 'b1607', 'b2518', 'b1612', 'b3453', 'b3894', 'b1163', 'b2111', 'b4340', 'b0458', 'b2149', 'b3351', 'b0432', 'b4542', 'b1415', 'b2587', 'b0313', 'b3528', 'b1777', 'b2844', 'b2210', 'b1778', 'b3962', 'b2537', 'b0113', 'b0721', 'b2150', 'b1020', 'b3603', 'b0346', 'b3820', 'b2980', 'b1422', 'b2181', 'b4735']"
84,FadR,fadR,"['b1187', 'b4702', 'b4703', 'b0954', 'b4727', 'b3081', 'b2341', 'b2342', 'b3845', 'b0221', 'b3846']"
85,LldR,lldR,"['b3605', 'b3604', 'b3603']"
86,NanR,nanR,"['b4279', 'b3221', 'b3222', 'b2838', 'b3223', 'b3225', 'b3224', 'b4311']"
87,GadW,gadW,"['b3509', 'b3510', 'b1625', 'b3513', 'b3514', 'b3491']"
