,model,im,train_r2,test_r2
1,ElasticNet,AllR/AraC/FucR,0.0,0.0
2,ElasticNet,AllR/AraC/FucR,0.0,-2.9514078292436352e-08
3,ElasticNet,AllR/AraC/FucR,0.0,-0.008904312184678131
4,ElasticNet,AllR/AraC/FucR,0.0,-0.036259159257252316
0,ElasticNet,ArcA-1,0.0,-0.00017866654769704837
1,ElasticNet,ArcA-1,0.0,-0.00032926734983695916
2,ElasticNet,ArcA-1,0.0,-0.0003939087115725215
3,ElasticNet,ArcA-1,0.0,-0.001720364295509924
4,ElasticNet,ArcA-1,0.0,-0.009768428470994017
0,ElasticNet,ArcA-2,0.0,-0.0011674020227652182
1,ElasticNet,ArcA-2,0.0,-0.011215230547804378
2,ElasticNet,ArcA-2,0.0,-0.006480312057186799
3,ElasticNet,ArcA-2,0.0,-0.0010217949939295146
4,ElasticNet,ArcA-2,0.0,-0.022713816273251863
0,ElasticNet,ArgR,0.0,-2.1287236918299257e-05
1,ElasticNet,ArgR,0.0,0.0
2,ElasticNet,ArgR,0.0,-0.008794802537825053
3,ElasticNet,ArgR,0.0,-7.187477013559374e-08
4,ElasticNet,ArgR,0.0,-0.050276658182133005
0,ElasticNet,Crp-1,0.0,-0.03988774305289278
1,ElasticNet,Crp-1,0.0,-0.00033588015712360253
2,ElasticNet,Crp-1,0.0,-0.002954376626910893
3,ElasticNet,Crp-1,0.0,-0.00029446305097535763
4,ElasticNet,Crp-1,0.0,-0.001243016797183527
0,ElasticNet,Crp-2,0.0,0.0
1,ElasticNet,Crp-2,0.0,-0.0043377370357711165
2,ElasticNet,Crp-2,0.0,0.0
3,ElasticNet,Crp-2,0.0,-0.05668680064361431
4,ElasticNet,Crp-2,0.0,-0.007963172910016691
0,ElasticNet,DhaR/Mlc,0.0,-0.004707034954381184
1,ElasticNet,DhaR/Mlc,0.0,-8.986284257850308e-05
2,ElasticNet,DhaR/Mlc,0.0,-0.0027760462434780475
3,ElasticNet,DhaR/Mlc,0.0,-0.0075551597067660126
4,ElasticNet,DhaR/Mlc,0.0,-0.009533489289412556
0,ElasticNet,CysB,0.0,-0.060998862355679195
1,ElasticNet,CysB,0.0,-0.010347388340330221
2,ElasticNet,CysB,0.0,-0.005637312845806042
3,ElasticNet,CysB,0.0,0.0
4,ElasticNet,CysB,0.0,-0.06362331170973134
0,SVR,AllR/AraC/FucR,-80.06644028177593,-4.133626396966149
1,SVR,AllR/AraC/FucR,-29.57679473692028,0.0
2,SVR,AllR/AraC/FucR,-32.705399859707356,-80.97773925814127
3,SVR,AllR/AraC/FucR,-32.026297996036355,-125.98250774567732
4,SVR,AllR/AraC/FucR,-30.430627028353392,-241.07425267655134
0,SVR,ArcA-1,-5.253848551570543,-2.7947314453107475
1,SVR,ArcA-1,-4.440079689924077,-4.765973151028548
2,SVR,ArcA-1,-2.9821530276891766,-2.822169475507032
3,SVR,ArcA-1,-3.7585651510974882,-3.439805388250007
4,SVR,ArcA-1,-3.1476393870656576,-10.228620339121976
0,SVR,ArcA-2,-3.0974887039179926,-0.8453283457584473
1,SVR,ArcA-2,-0.07066856655078624,-0.7758482972877092
2,SVR,ArcA-2,-1.4267934428733788,-1.9441774494498851
3,SVR,ArcA-2,-0.6373971967921952,-1.8851303877427004
4,SVR,ArcA-2,0.026327693723233625,-3.2349910680683065
0,SVR,ArgR,-42.4245814708678,-32.927871936826094
1,SVR,ArgR,-31.055509672208935,0.0
2,SVR,ArgR,-63.832509391166056,-15.085183439785439
3,SVR,ArgR,-42.40172170622537,-36.72880172155904
4,SVR,ArgR,-31.114008279137842,-407.57254160616674
0,SVR,Crp-1,-72.6030475964275,-462.63631922341057
1,SVR,Crp-1,-81.485342349311,-124.0251730649902
2,SVR,Crp-1,-73.85919905243865,-30.11508699597357
3,SVR,Crp-1,-81.68953092739122,-122.31018029055275
4,SVR,Crp-1,-100.21527600084401,-57.91801121088618
0,SVR,Crp-2,-45.228539961341774,0.0
1,SVR,Crp-2,-60.30358268255624,-47.45860522470291
2,SVR,Crp-2,-45.49278146371491,0.0
3,SVR,Crp-2,-45.37582899640806,-671.9540605949505
4,SVR,Crp-2,-180.34483844726705,-15.142333489821421
0,SVR,DhaR/Mlc,-0.4017506285072918,-0.2509974806272395
1,SVR,DhaR/Mlc,-3.5334682279840557,-10.77617922103121
2,SVR,DhaR/Mlc,-0.6717564883766525,-0.9438132332134399
3,SVR,DhaR/Mlc,-3.1166816386048364,-17.327916733255673
4,SVR,DhaR/Mlc,-34.2526911390857,-27.43855640530943
0,SVR,CysB,-30.64134996058108,-370.326626415868
1,SVR,CysB,-64.48218756090237,-14.192064440745984
2,SVR,CysB,-53.633568462188165,-17.280595692517092
3,SVR,CysB,-29.76443086392445,0.0
4,SVR,CysB,-30.41564746429382,-323.38280315139343
