,model,im,train_auc,test_auc
1,RF,Cra,0.9995157384987894,1.0
2,RF,Cra,0.999838657631494,0.9941860465116279
3,RF,Cra,0.999677315262988,0.9718992248062015
4,RF,Cra,0.9997095837366893,0.9956395348837209
0,RF,Crp-related-2,0.9996135265700483,1.0
1,RF,Crp-related-2,0.9998067632850242,0.9999999999999999
2,RF,Crp-related-2,1.0,0.998069498069498
3,RF,Crp-related-2,1.0,0.9303675048355899
4,RF,Crp-related-2,0.9999034282955094,0.4709864603481625
0,RF,EvgA,1.0,0.9218346253229974
1,RF,EvgA,1.0,0.7764857881136951
2,RF,EvgA,1.0,1.0
3,RF,EvgA,1.0,1.0
4,RF,EvgA,1.0,0.7097868217054263
0,RF,CysB-1,1.0,0.9973300970873786
1,RF,CysB-1,0.9997029114676174,0.9424757281553398
2,RF,CysB-1,0.9994569256273937,0.9999999999999999
3,RF,CysB-1,0.9993997599039616,1.0
4,RF,CysB-1,0.9995410862757802,0.9990272373540856
0,RF,CysB-2,0.9992743105950653,0.9970986460348162
1,RF,CysB-2,0.9993347847121432,0.9564796905222437
2,RF,CysB-2,0.9989114658925979,0.9980657640232108
3,RF,CysB-2,0.9990021770682148,0.9922630560928434
4,RF,CysB-2,0.9989119922630562,0.998062015503876
0,RF,CysB-3,0.9997357293868921,1.0
1,RF,CysB-3,1.0,1.0
2,RF,CysB-3,0.9999119097956307,1.0
3,RF,CysB-3,1.0,0.7070413436692506
4,RF,CysB-3,0.9997577519379846,0.6686046511627906
0,RF,FadR,1.0,0.9115087040618954
1,RF,FadR,1.0,0.9753384912959382
2,RF,FadR,1.0,0.9990328820116054
3,RF,FadR,1.0,0.6910058027079303
4,RF,FadR,1.0,1.0
0,RF,FlhDC-1,0.9963768115942029,0.932295719844358
1,RF,FlhDC-1,0.9967896205110037,0.8164392462638077
2,RF,FlhDC-1,0.9966789177700041,0.28118908382066277
3,RF,FlhDC-1,0.9961586148873045,0.6920077972709551
4,RF,FlhDC-1,0.9974162942883161,0.9173489278752437
0,RF,FlhDC-2,1.0,0.9750489236790607
1,RF,FlhDC-2,0.9999541116005873,0.5052592954990216
2,RF,FlhDC-2,0.9999541116005874,0.6601027397260274
3,RF,FlhDC-2,0.9999235193343122,0.7897504892367906
4,RF,FlhDC-2,0.9999847113502935,0.9545343137254902
0,RF,Fimbriae,1.0,1.0
1,RF,Fimbriae,1.0,1.0
2,RF,Fimbriae,1.0,1.0
3,RF,Fimbriae,1.0,1.0
4,RF,Fimbriae,1.0,1.0
