,ID,gene,TU,Sigma70,Sigma32,Sigma38,Sigma24,Sigma28,Sigma54,Sigma19,unknown
25,b0027,lspA,ileS-lspA-fkpB-ispH,1,0,0,0,0,0,0,0
26,b0027,lspA,ileS-lspA-fkpB-ispH,0,0,0,0,0,0,0,1
27,b0027,lspA,ileS-lspA-fkpB-ispH,0,1,0,0,0,0,0,0
28,b0028,fkpB,ribF-ileS-lspA-fkpB-ispH,1,0,0,0,0,0,0,0
29,b0028,fkpB,lspA-fkpB-ispH,1,0,0,0,0,0,0,0
30,b0028,fkpB,ileS-lspA-fkpB-ispH,1,0,0,0,0,0,0,0
31,b0028,fkpB,ileS-lspA-fkpB-ispH,0,0,0,0,0,0,0,1
32,b0028,fkpB,ileS-lspA-fkpB-ispH,0,1,0,0,0,0,0,0
33,b0029,ispH,ribF-ileS-lspA-fkpB-ispH,1,0,0,0,0,0,0,0
34,b0029,ispH,lspA-fkpB-ispH,1,0,0,0,0,0,0,0
35,b0029,ispH,ileS-lspA-fkpB-ispH,1,0,0,0,0,0,0,0
36,b0029,ispH,ileS-lspA-fkpB-ispH,0,0,0,0,0,0,0,1
37,b0029,ispH,ileS-lspA-fkpB-ispH,0,1,0,0,0,0,0,0
38,b0031,dapB,dapB,1,0,0,0,0,0,0,0
39,b0031,dapB,dapB,1,0,0,0,0,0,0,0
40,b0032,carA,carAB,1,0,0,0,0,0,0,0
41,b0032,carA,carAB,1,0,0,0,0,0,0,0
42,b0033,carB,carAB,1,0,0,0,0,0,0,0
43,b0033,carB,carAB,1,0,0,0,0,0,0,0
44,b0033,carB,carB,0,0,0,0,0,0,0,1
45,b0034,caiF,caiF,1,0,0,0,0,0,0,0
46,b0035,caiE,caiTABCDE,1,0,0,0,0,0,0,0
47,b0036,caiD,caiTABCDE,1,0,0,0,0,0,0,0
48,b0037,caiC,caiTABCDE,1,0,0,0,0,0,0,0
49,b0038,caiB,caiTABCDE,1,0,0,0,0,0,0,0
50,b0039,caiA,caiTABCDE,1,0,0,0,0,0,0,0
51,b0040,caiT,caiTABCDE,1,0,0,0,0,0,0,0
52,b0041,fixA,fixABCX,1,0,0,0,0,0,0,0
53,b0042,fixB,fixABCX,1,0,0,0,0,0,0,0
54,b0043,fixC,fixABCX,1,0,0,0,0,0,0,0
55,b0044,fixX,fixABCX,1,0,0,0,0,0,0,0
56,b0045,yaaU,yaaU,0,0,0,0,0,1,0,0
57,b0048,folA,folA,1,0,0,0,0,0,0,0
58,b0049,apaH,rsmA-apaGH,0,0,0,0,0,0,0,1
59,b0049,apaH,apaGH,0,0,0,0,0,0,0,1
60,b0050,apaG,rsmA-apaGH,0,0,0,0,0,0,0,1
61,b0050,apaG,apaGH,0,0,0,0,0,0,0,1
62,b0051,rsmA,rsmA-apaGH,0,0,0,0,0,0,0,1
63,b0052,pdxA,lptD-surA-pdxA,0,0,0,1,0,0,0,0
64,b0053,surA,lptD-surA-pdxA,0,0,0,1,0,0,0,0
65,b0054,lptD,lptD,1,0,0,0,0,0,0,0
66,b0054,lptD,lptD,1,0,0,0,0,0,0,0
67,b0054,lptD,lptD-surA-pdxA,0,0,0,1,0,0,0,0
68,b0058,rluA,rapA-rluA,1,0,0,0,0,0,0,0
69,b0059,rapA,rapA-rluA,1,0,0,0,0,0,0,0
70,b0059,rapA,rapA,1,1,0,0,0,0,0,0
71,b0060,polB,polB,1,0,0,0,0,0,0,0
72,b0061,araD,araBAD,1,0,0,0,0,0,0,0
73,b0062,araA,araBAD,1,0,0,0,0,0,0,0
74,b0063,araB,araBAD,1,0,0,0,0,0,0,0
75,b0064,araC,araC,1,0,0,0,0,0,0,0
76,b0065,yabI,yabI,0,0,1,0,0,0,0,0
77,b0066,thiQ,sgrR-sroA-tbpA-thiPQ,1,0,0,0,0,0,0,0
78,b0067,thiP,sgrR-sroA-tbpA-thiPQ,1,0,0,0,0,0,0,0
79,b0068,thiB,sgrR-sroA-tbpA-thiPQ,1,0,0,0,0,0,0,0
80,b0069,sgrR,sgrR-sroA-tbpA-thiPQ,1,0,0,0,0,0,0,0
81,b4577,sgrS,sgrST-setA,1,0,1,0,0,0,0,0
82,b4662,sgrT,sgrST-setA,1,0,1,0,0,0,0,0
83,b0070,setA,sgrST-setA,1,0,1,0,0,0,0,0
84,b0071,leuD,leuLABCD,1,0,0,0,0,0,0,0
85,b0071,leuD,leuLABCD,0,0,0,0,0,0,0,1
86,b0072,leuC,leuLABCD,1,0,0,0,0,0,0,0
87,b0072,leuC,leuLABCD,0,0,0,0,0,0,0,1
88,b0073,leuB,leuLABCD,1,0,0,0,0,0,0,0
89,b0073,leuB,leuLABCD,0,0,0,0,0,0,0,1
90,b0074,leuA,leuLABCD,1,0,0,0,0,0,0,0
91,b0074,leuA,leuLABCD,0,0,0,0,0,0,0,1
92,b0075,leuL,leuLABCD,1,0,0,0,0,0,0,0
93,b0075,leuL,leuLABCD,0,0,0,0,0,0,0,1
94,b0075,leuL,leuL,1,0,0,0,0,0,0,0
95,b0076,leuO,leuO,1,0,0,0,0,0,0,0
96,b0076,leuO,leuO,0,0,0,0,0,0,0,1
97,b0076,leuO,leuO,0,0,0,0,0,0,0,1
98,b0076,leuO,leuO,0,0,0,0,0,0,0,1
99,b0077,ilvI,ilvIH,1,0,0,0,0,0,0,0
100,b0077,ilvI,ilvIH,1,0,0,0,0,0,0,0
101,b0077,ilvI,ilvIH,0,0,0,0,0,0,0,1
102,b0077,ilvI,ilvIH,1,0,0,0,0,0,0,0
103,b0078,ilvH,ilvIH,1,0,0,0,0,0,0,0
104,b0078,ilvH,ilvIH,1,0,0,0,0,0,0,0
105,b0078,ilvH,ilvIH,0,0,0,0,0,0,0,1
106,b0078,ilvH,ilvIH,1,0,0,0,0,0,0,0
107,b0080,cra,cra,0,1,0,0,0,0,0,0
108,b0081,mraZ,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1,0,0,0,0,0,0,0
109,b0082,rsmH,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1,0,0,0,0,0,0,0
110,b0082,rsmH,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
111,b0083,ftsL,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1,0,0,0,0,0,0,0
112,b0083,ftsL,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
113,b0083,ftsL,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
114,b0083,ftsL,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
115,b0084,ftsI,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1,0,0,0,0,0,0,0
116,b0084,ftsI,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
117,b0084,ftsI,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
118,b0084,ftsI,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
119,b0085,murE,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1,0,0,0,0,0,0,0
120,b0085,murE,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
121,b0085,murE,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
122,b0085,murE,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
123,b0086,murF,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1,0,0,0,0,0,0,0
124,b0086,murF,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
125,b0086,murF,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
126,b0086,murF,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
127,b0087,mraY,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1,0,0,0,0,0,0,0
128,b0087,mraY,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
129,b0087,mraY,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
130,b0087,mraY,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
131,b0088,murD,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1,0,0,0,0,0,0,0
132,b0088,murD,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
133,b0088,murD,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
134,b0088,murD,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
135,b0089,ftsW,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1,0,0,0,0,0,0,0
136,b0089,ftsW,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
137,b0089,ftsW,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
138,b0089,ftsW,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
139,b0090,murG,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1,0,0,0,0,0,0,0
140,b0090,murG,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
141,b0090,murG,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
142,b0090,murG,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
143,b0091,murC,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1,0,0,0,0,0,0,0
144,b0091,murC,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
145,b0091,murC,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
146,b0091,murC,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
147,b0092,ddlB,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1,0,0,0,0,0,0,0
148,b0092,ddlB,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
149,b0092,ddlB,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
150,b0092,ddlB,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
151,b0093,ftsQ,ftsQ,0,0,1,0,0,0,0,0
152,b0093,ftsQ,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1,0,0,0,0,0,0,0
153,b0093,ftsQ,ftsQAZ,1,0,1,0,0,0,0,0
154,b0093,ftsQ,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
155,b0093,ftsQ,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
156,b0093,ftsQ,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
157,b0094,ftsA,ftsAZ,1,0,0,0,0,0,0,0
158,b0094,ftsA,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1,0,0,0,0,0,0,0
159,b0094,ftsA,ftsQAZ,1,0,1,0,0,0,0,0
160,b0094,ftsA,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
161,b0094,ftsA,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
162,b0094,ftsA,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
163,b0095,ftsZ,ftsAZ,1,0,0,0,0,0,0,0
164,b0095,ftsZ,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1,0,0,0,0,0,0,0
165,b0095,ftsZ,ftsQAZ,1,0,1,0,0,0,0,0
166,b0095,ftsZ,ftsZ,0,0,0,0,0,0,0,1
167,b0095,ftsZ,ftsZ,0,0,0,0,0,0,0,1
168,b0095,ftsZ,ftsZ,0,0,0,0,0,0,0,1
169,b0095,ftsZ,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
170,b0095,ftsZ,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
171,b0095,ftsZ,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
172,b0096,lpxC,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,1,0,0,0,0,0,0,0
173,b0096,lpxC,lpxC,1,0,0,0,0,0,0,0
174,b0096,lpxC,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
175,b0096,lpxC,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
176,b0096,lpxC,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,0,0,0,0,0,0,0,1
177,b0096,lpxC,lpxC,0,0,0,0,0,0,0,1
178,b0106,hofC,ppdD-hofBC,1,0,0,0,0,0,0,0
179,b0107,hofB,ppdD-hofBC,1,0,0,0,0,0,0,0
180,b0108,ppdD,ppdD-hofBC,1,0,0,0,0,0,0,0
181,b0109,nadC,nadC,0,0,0,0,0,0,0,1
182,b0110,ampD,ampDE,0,0,0,0,0,0,0,1
183,b0111,ampE,ampDE,0,0,0,0,0,0,0,1
184,b0112,aroP,aroP,1,0,0,0,0,0,0,0
185,b0112,aroP,aroP,1,0,0,0,0,0,0,0
186,b0113,pdhR,pdhR-aceEF-lpd,1,0,1,0,0,0,0,0
187,b0114,aceE,aceEF,1,0,1,0,0,0,0,0
188,b0114,aceE,pdhR-aceEF-lpd,1,0,1,0,0,0,0,0
189,b0115,aceF,aceEF,1,0,1,0,0,0,0,0
190,b0115,aceF,pdhR-aceEF-lpd,1,0,1,0,0,0,0,0
191,b0116,lpd,pdhR-aceEF-lpd,1,0,1,0,0,0,0,0
192,b0116,lpd,lpd,1,0,0,0,0,0,0,0
193,b0118,acnB,acnB,1,0,0,0,0,0,0,0
194,b0118,acnB,acnB,0,0,0,0,0,0,0,1
195,b0119,yacL,yacL,0,0,0,0,0,0,0,1
196,b0120,speD,yacC-speED,1,0,0,0,0,0,0,0
197,b0121,speE,yacC-speED,1,0,0,0,0,0,0,0
198,b0122,yacC,yacC-speED,1,0,0,0,0,0,0,0
199,b0123,cueO,cueO,0,0,0,0,0,0,0,1
200,b0124,gcd,gcd,1,0,0,0,0,0,0,0
201,b0124,gcd,gcd,0,0,0,0,0,0,0,1
202,b0125,hpt,hpt,1,0,0,0,0,0,0,0
203,b0126,can,can,1,1,0,0,0,0,0,0
204,b0131,panD,panD,0,0,0,0,0,0,0,1
205,b0131,panD,panD,1,0,0,0,0,0,0,0
206,b0133,panC,panBC,1,0,0,0,0,0,0,0
207,b0134,panB,panBC,1,0,0,0,0,0,0,0
208,b0139,htrE,yadV-htrE,1,0,0,0,0,0,0,0
209,b0139,htrE,yadV-htrE,0,0,1,0,0,0,0,0
210,b0139,htrE,yadV-htrE,1,0,0,0,0,0,0,0
211,b0140,yadV,yadV-htrE,1,0,0,0,0,0,0,0
212,b0140,yadV,yadV-htrE,0,0,1,0,0,0,0,0
213,b0140,yadV,yadV-htrE,1,0,0,0,0,0,0,0
214,b0142,folK,pcnB-folK,1,0,1,0,0,0,0,0
215,b0142,folK,pcnB-folK,1,0,0,0,0,0,0,0
216,b0142,folK,pcnB-folK,1,0,0,0,0,0,0,0
217,b0142,folK,pcnB-folK,0,0,1,0,0,0,0,0
218,b0143,pcnB,pcnB-folK,1,0,1,0,0,0,0,0
219,b0143,pcnB,pcnB-folK,1,0,0,0,0,0,0,0
220,b0143,pcnB,pcnB-folK,1,0,0,0,0,0,0,0
221,b0143,pcnB,pcnB-folK,0,0,1,0,0,0,0,0
222,b0144,gluQ,dksA-gluQ,0,0,0,0,0,0,0,1
223,b0144,gluQ,dksA-gluQ,1,0,0,0,0,0,0,0
224,b0144,gluQ,dksA-gluQ,1,0,0,0,0,0,0,0
225,b0145,dksA,sfsA-dksA,1,0,0,0,0,0,0,0
226,b0145,dksA,dksA-gluQ,0,0,0,0,0,0,0,1
227,b0145,dksA,dksA-gluQ,1,0,0,0,0,0,0,0
228,b0145,dksA,dksA-gluQ,1,0,0,0,0,0,0,0
229,b0146,sfsA,sfsA-dksA,1,0,0,0,0,0,0,0
230,b0149,mrcB,mrcB,0,0,0,0,0,0,0,1
231,b0150,fhuA,fhuACDB,1,0,0,0,0,0,0,0
232,b0151,fhuC,fhuACDB,1,0,0,0,0,0,0,0
233,b0152,fhuD,fhuACDB,1,0,0,0,0,0,0,0
234,b0153,fhuB,fhuACDB,1,0,0,0,0,0,0,0
235,b0154,hemL,hemL,0,0,0,0,1,0,0,0
236,b0154,hemL,hemL,0,0,0,0,1,0,0,0
237,b0154,hemL,hemL,0,0,0,0,1,0,0,0
238,b0156,erpA,erpA,0,0,0,0,0,0,0,1
239,b0157,yadS,mtn-btuF-yadS,1,0,1,0,0,0,0,0
240,b0158,btuF,mtn-btuF-yadS,1,0,1,0,0,0,0,0
241,b0159,mtn,mtn-btuF-yadS,1,0,1,0,0,0,0,0
242,b0160,dgt,dgt,0,0,0,0,0,0,0,1
243,b0160,dgt,dgt,0,0,0,0,0,0,0,1
244,b0161,degP,degP,0,0,0,1,0,0,0,0
245,b0162,cdaR,cdaR,0,0,0,0,0,0,0,1
246,b0166,dapD,dapD,1,0,0,0,0,0,0,0
247,b0167,glnD,glnD,0,0,0,0,0,0,0,1
248,b4414,tff,tff-rpsB-tsf,1,0,0,0,0,0,0,0
249,b0169,rpsB,tff-rpsB-tsf,1,0,0,0,0,0,0,0
250,b0170,tsf,tff-rpsB-tsf,1,0,0,0,0,0,0,0
251,b0171,pyrH,pyrH,1,0,0,0,0,0,0,0
252,b0172,frr,frr,1,0,0,0,0,0,0,0
253,b0174,ispU,ispU,0,0,0,0,0,0,0,1
254,b0174,ispU,ispU,0,0,0,0,0,0,0,1
255,b0176,rseP,rseP,0,0,0,1,0,0,0,0
256,b0177,bamA,bamA,0,0,0,1,0,0,0,0
257,b0177,bamA,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,0,0,0,1,0,0,0,0
258,b0178,skp,skp-lpxD-fabZ-lpxA,0,0,0,1,0,0,0,0
259,b0178,skp,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,0,0,0,1,0,0,0,0
260,b0179,lpxD,skp-lpxD-fabZ-lpxA,0,0,0,1,0,0,0,0
261,b0179,lpxD,lpxD,0,0,0,1,0,0,0,0
262,b0179,lpxD,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,0,0,0,1,0,0,0,0
263,b0180,fabZ,skp-lpxD-fabZ-lpxA,0,0,0,1,0,0,0,0
264,b0180,fabZ,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,0,0,0,1,0,0,0,0
265,b0181,lpxA,skp-lpxD-fabZ-lpxA,0,0,0,1,0,0,0,0
266,b0181,lpxA,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,0,0,0,1,0,0,0,0
267,b0182,lpxB,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,0,0,0,1,0,0,0,0
268,b0183,rnhB,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,0,0,0,1,0,0,0,0
269,b0184,dnaE,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,0,0,0,1,0,0,0,0
270,b0185,accA,accA,1,0,0,0,0,0,0,0
271,b0185,accA,accA,0,0,0,0,0,0,0,1
272,b0189,rof,yaeP-rof,0,0,0,0,0,0,0,1
273,b4406,yaeP,yaeP-rof,0,0,0,0,0,0,0,1
274,b0190,yaeQ,yaeQ-arfB-nlpE,0,0,0,0,0,0,0,1
275,b0191,arfB,yaeQ-arfB-nlpE,0,0,0,0,0,0,0,1
276,b0192,nlpE,yaeQ-arfB-nlpE,0,0,0,0,0,0,0,1
277,b0194,proS,proS,1,0,0,0,0,0,0,0
278,b0197,metQ,metNIQ,1,0,0,0,0,0,0,0
279,b0198,metI,metNIQ,1,0,0,0,0,0,0,0
280,b0199,metN,metNIQ,1,0,0,0,0,0,0,0
281,b0200,gmhB,gmhB,0,0,0,0,0,0,0,1
282,b0201,rrsH,rrsH-ileV-alaV-rrlH-rrfH,1,1,0,0,0,0,0,0
283,b0201,rrsH,rrsH-ileV-alaV-rrlH-rrfH,1,0,0,0,0,0,0,0
284,b0202,ileV,rrsH-ileV-alaV-rrlH-rrfH,1,1,0,0,0,0,0,0
285,b0202,ileV,rrsH-ileV-alaV-rrlH-rrfH,1,0,0,0,0,0,0,0
286,b0203,alaV,rrsH-ileV-alaV-rrlH-rrfH,1,1,0,0,0,0,0,0
287,b0203,alaV,rrsH-ileV-alaV-rrlH-rrfH,1,0,0,0,0,0,0,0
288,b0204,rrlH,rrsH-ileV-alaV-rrlH-rrfH,1,1,0,0,0,0,0,0
289,b0204,rrlH,rrsH-ileV-alaV-rrlH-rrfH,1,0,0,0,0,0,0,0
290,b0205,rrfH,rrsH-ileV-alaV-rrlH-rrfH,1,1,0,0,0,0,0,0
291,b0205,rrfH,rrsH-ileV-alaV-rrlH-rrfH,1,0,0,0,0,0,0,0
292,b0207,dkgB,dkgB,0,0,1,0,0,0,0,0
293,b0209,yafD,yafDE,0,1,0,0,0,0,0,0
294,b0210,yafE,yafDE,0,1,0,0,0,0,0,0
295,b0214,rnhA,rnhA,0,0,0,0,0,0,0,1
296,b0215,dnaQ,dnaQ,0,0,0,0,0,0,0,1
297,b0215,dnaQ,dnaQ,0,0,0,0,0,0,0,1
298,b0216,aspV,aspV,1,0,0,0,0,0,0,0
299,b0219,yafV,yafV,0,0,0,0,0,0,0,1
300,b0221,fadE,fadE,0,0,0,0,0,0,0,1
301,b0225,yafQ,dinJ-yafQ,1,0,0,0,0,0,0,0
302,b0226,dinJ,dinJ-yafQ,1,0,0,0,0,0,0,0
303,b0231,dinB,dinB-yafNOP,1,0,1,0,0,0,0,0
304,b0232,yafN,dinB-yafNOP,1,0,1,0,0,0,0,0
305,b0232,yafN,yafNOP,1,0,0,0,0,0,0,0
306,b0233,yafO,dinB-yafNOP,1,0,1,0,0,0,0,0
307,b0233,yafO,yafNOP,1,0,0,0,0,0,0,0
308,b0234,yafP,dinB-yafNOP,1,0,1,0,0,0,0,0
309,b0234,yafP,yafNOP,1,0,0,0,0,0,0,0
310,b0237,pepD,pepD,0,0,0,0,0,0,0,1
311,b0237,pepD,pepD,0,0,0,0,0,0,0,1
312,b0237,pepD,pepD,1,0,0,0,0,0,0,0
313,b0238,gpt,gpt,1,0,0,0,0,0,0,0
314,b0239,frsA,frsA,1,0,0,0,0,0,0,0
315,b0241,phoE,phoE,1,0,0,0,0,0,0,0
316,b0244,thrW,thrW,1,0,0,0,0,0,0,0
317,b0245,ykfI,ykfBF-yafX-ykfGH-yafW-ykfI,0,0,0,0,1,0,0,0
318,b0245,ykfI,ykfBF-yafX-ykfGH-yafW-ykfI,0,0,0,0,1,0,0,0
319,b0246,yafW,ykfBF-yafX-ykfGH-yafW-ykfI,0,0,0,0,1,0,0,0
320,b0246,yafW,ykfBF-yafX-ykfGH-yafW-ykfI,0,0,0,0,1,0,0,0
321,b4504,ykfH,ykfBF-yafX-ykfGH-yafW-ykfI,0,0,0,0,1,0,0,0
322,b4504,ykfH,ykfBF-yafX-ykfGH-yafW-ykfI,0,0,0,0,1,0,0,0
