,model,xy,train_r2,val_r2
0,RF,SW + OH,0.9534985524547238,0.22737889291831992
1,RF,SW + OH,0.9492190913065064,0.1898949116848656
2,RF,SW + OH,0.9507757933824154,0.35152700804893244
3,RF,SW + OH,0.950255846844957,0.33006856182891997
4,RF,SW + OH,0.9467465499057728,0.39078052506266703
0,RF,SWsmall,0.9422848496418011,-0.11472206555238995
1,RF,SWsmall,0.9410911498476283,-0.07484194037019254
2,RF,SWsmall,0.9379814217358936,0.061894120149977305
3,RF,SWsmall,0.9428313592281165,0.042012801564692004
4,RF,SWsmall,0.9367611897841993,0.0029191568107602706
0,RF,SWsmall + OH,0.9453485557348397,0.054280277561922
1,RF,SWsmall + OH,0.9437657235676762,0.06216270039539029
2,RF,SWsmall + OH,0.9415755167376534,0.16643640521968228
3,RF,SWsmall + OH,0.9420510858373927,0.13527737453081357
4,RF,SWsmall + OH,0.9370316924979945,0.18486646644085347
0,RF,One-hot (no iM),0.9038400511486392,0.4636934792893228
1,RF,One-hot (no iM),0.90419761696924,0.46807775990390943
2,RF,One-hot (no iM),0.9061551345012322,0.43737098570724553
3,RF,One-hot (no iM),0.9072391561695397,0.44650736866566476
4,RF,One-hot (no iM),0.9053621144101743,0.40527643947497494
0,RF,Strainware (no iM),0.9453209296369129,0.189076364060081
1,RF,Strainware (no iM),0.947855881096031,0.1468508589575347
2,RF,Strainware (no iM),0.942262236324393,0.23699311416955582
3,RF,Strainware (no iM),0.9445230660040497,0.33182414129584614
4,RF,Strainware (no iM),0.9395403050801657,0.29252212843377545
0,RF,SW + OH (no iM),0.9494076826595583,0.15509259295862232
1,RF,SW + OH (no iM),0.9479642337200106,0.12569978414121297
2,RF,SW + OH (no iM),0.9444687993366913,0.16948500254727916
3,RF,SW + OH (no iM),0.9425552813273419,0.3211097740432157
4,RF,SW + OH (no iM),0.9397446939030272,0.32992413058740033
0,RF,SWsmall (no iM),0.9322526277937676,-0.08246077961488707
1,RF,SWsmall (no iM),0.9295816735100657,0.037267518789971255
2,RF,SWsmall (no iM),0.9266086056221113,0.06317178044702443
3,RF,SWsmall (no iM),0.9321226385103553,0.03501564121780165
4,RF,SWsmall (no iM),0.9329086062355485,-0.14970080931562246
0,RF,SWsmall + OH (no iM),0.9376379184570326,-0.01728580582462924
1,RF,SWsmall + OH (no iM),0.9359727238581171,0.07011474085661229
2,RF,SWsmall + OH (no iM),0.9296212528117148,0.09622171057139128
3,RF,SWsmall + OH (no iM),0.9344416016683508,0.15046344773756903
4,RF,SWsmall + OH (no iM),0.9302037045786203,0.1347651818780219
0,NN,One-hot,0.9599786680653856,0.2845472157084631
1,NN,One-hot,0.963451409477742,0.22841422556029978
2,NN,One-hot,0.9647867276521503,0.2506251473886787
3,NN,One-hot,0.961422129180297,0.17517283148420182
4,NN,One-hot,0.9627326455678475,0.2278989075697565
0,NN,Strainware,0.943470454405253,-0.5815855774559235
1,NN,Strainware,0.935250844864653,-0.384194644772869
2,NN,Strainware,0.9476559897366312,0.010349969826957905
3,NN,Strainware,0.936762739161763,-0.18790375940528614
4,NN,Strainware,0.9317618019960172,-0.5295424340692816
0,NN,SW + OH,0.9521450684484157,-0.8680858721739928
1,NN,SW + OH,0.9426631269563872,-0.567027287394587
2,NN,SW + OH,0.9512365294673414,-0.44209643776035623
3,NN,SW + OH,0.9490393500705719,-0.27341849157627385
4,NN,SW + OH,0.9496064525550434,-0.8909314191244053
0,NN,SWsmall,0.34195355610867595,-0.06849674630016955
1,NN,SWsmall,0.3205126972300937,-0.10445902042365085
2,NN,SWsmall,0.3240246672197248,0.0422690189432936
3,NN,SWsmall,0.33873916500906,0.03176163164967405
4,NN,SWsmall,0.302743278940548,0.17653458917282183
0,NN,SWsmall + OH,0.9736129634837997,-0.6859926369258775
1,NN,SWsmall + OH,0.9758679997694893,-0.7695635669547609
2,NN,SWsmall + OH,0.972776844475664,-0.48774184151852973
3,NN,SWsmall + OH,0.9691134833821837,-0.4509369225195341
4,NN,SWsmall + OH,0.9712325415212659,-0.6673176227918132
0,NN,One-hot (no iM),0.9734755561850291,0.13761597926545
1,NN,One-hot (no iM),0.9733574529443807,0.03543813865003742
2,NN,One-hot (no iM),0.9752866979296109,0.20000595527633935
3,NN,One-hot (no iM),0.9748348901946547,0.03993836775169646
4,NN,One-hot (no iM),0.9756072909669293,0.09884770588842273
0,NN,Strainware (no iM),0.9704066921751169,-0.9094912530035801
1,NN,Strainware (no iM),0.9639748256364901,-0.7331625335190985
2,NN,Strainware (no iM),0.9644041125365068,-1.1623028419439838
3,NN,Strainware (no iM),0.9583102448608696,-0.7101705946139871
4,NN,Strainware (no iM),0.9598350434549588,-2.354420799293234
0,NN,SW + OH (no iM),0.9736378049332848,-1.75725092390925
1,NN,SW + OH (no iM),0.9670764440703007,-0.6054372166517739
2,NN,SW + OH (no iM),0.9710131828025848,-2.4992689773650465
3,NN,SW + OH (no iM),0.9640898002829512,-1.4972545795160128
4,NN,SW + OH (no iM),0.9665692242053628,-2.6310096545361152
0,NN,SWsmall (no iM),0.37615134451541554,-0.0002813547238509351
1,NN,SWsmall (no iM),0.35918087043300606,-0.4646935557424947
2,NN,SWsmall (no iM),0.3471585887735883,-0.1258262093402036
3,NN,SWsmall (no iM),0.35733435711372885,-0.061023289427242
4,NN,SWsmall (no iM),0.34082987625390126,-0.3137175963841474
0,NN,SWsmall + OH (no iM),0.9808778609000331,-1.1712448919575467
1,NN,SWsmall + OH (no iM),0.9738938706518339,-0.7220439630456759
2,NN,SWsmall + OH (no iM),0.9751620367438929,-1.2757257689155006
3,NN,SWsmall + OH (no iM),0.9707280276150575,-0.9257108347109964
4,NN,SWsmall + OH (no iM),0.9740340305957762,-1.5438207740137933
