"sample","iM","Val"
"p1k_00348","Arginine",-3.10479652895616
"p1k_00622","Arginine",-2.64638235111157
"p1k_00958","Arginine",-2.44007544168177
"p1k_00407","Arginine",-3.1990108949044
"p1k_01016","Arginine",-2.83581665141299
"p1k_00441","Arginine",-2.25681422762551
"p1k_00217","Arginine",-3.01540739432231
"p1k_00662","Arginine",-2.64790259152372
"p1k_00424","Arginine",-3.03346923282375
"p1k_00621","Arginine",-2.86727415891873
"p1k_00756","Arginine",-2.97289806324504
"p1k_00136","Arginine",-2.92906063146479
"p1k_00942","Arginine",-2.43673341044858
"p1k_00510","Arginine",-1.88986496306333
"p1k_01039","Arginine",-2.92813895790741
"p1k_00144","Arginine",-2.35210864932212
"p1k_01022","Arginine",-2.62191690589377
"p1k_00716","Arginine",-2.72395069690211
"p1k_00923","Arginine",-2.68551741336218
"p1k_00066","Arginine",-2.92194962128684
"p1k_00008","Arginine",-2.69849330657145
"p1k_00783","Arginine",-3.00780763509017
"p1k_00837","Arginine",-1.90933515353411
"p1k_00350","Arginine",-3.01484154057784
"p1k_00590","Arginine",-2.75738068951194
"p1k_00122","Arginine",-2.74678866951102
"p1k_00892","Arginine",-2.87870340546299
"p1k_00982","Arginine",-2.45783587950739
"p1k_00104","Arginine",-1.64872793891528
"p1k_00317","Arginine",-2.9683595719991
"starve_series__t14_starve","Arginine",-4.54856119241298
"p1k_00134","Arginine",-3.10504201321884
"p1k_01014","Arginine",-1.78524880583023
"p1k_00021","Arginine",-2.03768747618328
"p1k_00813","Arginine",-2.97593264658871
"p1k_00518","Arginine",-3.20343537891922
"p1k_00211","Arginine",-2.92242772847438
"p1k_00745","Arginine",-2.68042980872427
"p1k_01037","Arginine",-2.59233011376215
"p1k_00074","Arginine",-2.62361453713066
"starve_series__t23_growth2","Arginine",-6.42021640338319
"p1k_00351","Arginine",-3.05033593917304
"p1k_00447","Arginine",-2.06688380711741
"p1k_00392","Arginine",-2.74105602329524
"p1k_00682","Arginine",-2.83963714965579
"p1k_00637","Arginine",-2.47187065968736
"p1k_00448","Arginine",-2.05228437228459
"p1k_00475","Arginine",-2.25611666912099
