"sample","iM","Val"
"p1k_00567","BasR",-5.42622920653244
"p1k_00011","BasR",-4.31162827488585
"p1k_00943","BasR",-4.41873272991427
"p1k_00894","BasR",-4.63363545540663
"p1k_00862","BasR",-4.27136593669718
"p1k_00521","BasR",-4.69851415746608
"p1k_00221","BasR",-4.52273652987664
"p1k_00252","BasR",-3.61834151694838
"p1k_00699","BasR",-4.55927554510139
"p1k_00223","BasR",-4.58112044906956
"p1k_00698","BasR",-4.63047649845557
"p1k_00499","BasR",-4.58772760243392
"p1k_00405","BasR",-5.26356782612392
"p1k_00784","BasR",-5.05783883481524
"p1k_00132","BasR",-4.90156315277535
"p1k_00137","BasR",-5.00747966055243
"p1k_00401","BasR",-15.4878638502315
"p1k_00661","BasR",-4.53250976387464
"p1k_00078","BasR",-4.27514042716587
"p1k_00348","BasR",-4.73760952553313
"p1k_00622","BasR",-4.52477142961292
"p1k_00958","BasR",-4.36930976397079
"p1k_00407","BasR",-5.71283028622887
"p1k_01016","BasR",-4.36729662653486
"p1k_00441","BasR",-4.73577840617841
"p1k_00217","BasR",-4.36290125654021
"p1k_00662","BasR",-4.31937977432075
"p1k_00424","BasR",-5.38453629048782
"p1k_00621","BasR",-4.6277274357127
"p1k_00756","BasR",-5.10577400615386
"p1k_00136","BasR",-5.15387645439524
"p1k_00942","BasR",-4.09726362864857
"p1k_00510","BasR",-3.15474216499027
"p1k_01039","BasR",-4.44295954634886
"p1k_00144","BasR",-4.39104904891532
"p1k_01022","BasR",-4.11280334241154
"p1k_00716","BasR",-4.55911705985256
"starve_series__t26_growth2","BasR",-3.3804327148223
"p1k_00923","BasR",-4.71785626709189
"p1k_00066","BasR",-3.80770933517423
"p1k_00008","BasR",-4.37609054087104
"p1k_00783","BasR",-5.33743010250986
"p1k_00837","BasR",-15.5471337614066
"p1k_00350","BasR",-4.60194389431022
"p1k_00590","BasR",-4.91672288964483
"p1k_00122","BasR",-4.43270243723987
"p1k_00892","BasR",-6.57040246084431
"p1k_00982","BasR",-4.5168267921532
"p1k_00104","BasR",-4.10341319731493
"p1k_00317","BasR",-4.79871421286537
"starve_series__t14_starve","BasR",-3.11772466565931
"p1k_00134","BasR",-5.03388519209584
"p1k_01014","BasR",-3.93156987234142
"p1k_00021","BasR",-4.13791910863513
"p1k_00813","BasR",-4.38210033531243
"p1k_00518","BasR",-4.7336033133956
"p1k_00211","BasR",-4.23589781453746
"p1k_00745","BasR",-4.48987971002426
"p1k_01037","BasR",-4.4137024565666
"p1k_00074","BasR",-4.48904792087896
"starve_series__t23_growth2","BasR",-2.50754465747197
"p1k_00351","BasR",-4.57417525369511
"p1k_00447","BasR",-4.3112866246649
"p1k_00392","BasR",-4.49431858652491
"p1k_00682","BasR",-4.73594120255934
