"sample","iM","Val"
"p1k_00907","CpxR",-5.78788133849786
"p1k_01047","CpxR",-6.47033466028268
"p1k_00385","CpxR",-9.17103681180953
"p1k_00405","CpxR",-9.03977914487051
"p1k_01034","CpxR",-6.10385657269096
"p1k_00346","CpxR",-6.37334484053706
"p1k_01012","CpxR",-5.60635779065505
"p1k_00557","CpxR",-6.64872524324736
"p1k_00092","CpxR",-6.11460427505101
"p1k_00463","CpxR",-8.83451128949453
"p1k_00710","CpxR",-9.68139020861167
"p1k_00882","CpxR",-6.55986078582629
"p1k_00244","CpxR",-6.38169709598576
"p1k_00708","CpxR",-6.03963002810545
"p1k_00567","CpxR",-5.84401342518408
"p1k_00738","CpxR",-9.70367491233414
"p1k_00004","CpxR",-5.94229129932572
"p1k_00197","CpxR",-8.3343682053059
"p1k_01036","CpxR",-6.35892979574346
"p1k_00150","CpxR",-9.42350623956139
"p1k_00168","CpxR",-8.74031647411243
"p1k_00734","CpxR",-9.6286998260638
"p1k_00986","CpxR",-10.032286206328
"p1k_00312","CpxR",-8.80108935512279
"p1k_00342","CpxR",-6.35325487263241
"p1k_00483","CpxR",-6.30033935605294
"p1k_01043","CpxR",-6.36590269081519
"starve_series__t01_starve","CpxR",-5.67362203536523
"p1k_00998","CpxR",-6.08627544615784
"p1k_00295","CpxR",-9.43718630209033
"p1k_00299","CpxR",-5.83089370682655
"p1k_00947","CpxR",-6.60040036985862
"p1k_00769","CpxR",-9.30350313241088
"p1k_00079","CpxR",-6.40506260061112
"p1k_00620","CpxR",-9.99349881713688
"p1k_00624","CpxR",-8.58388102508902
"p1k_00364","CpxR",-6.07070602683301
"p1k_00782","CpxR",-10.1782385020004
"p1k_00155","CpxR",-6.3337143604091
"p1k_00180","CpxR",-6.41826294797989
"p1k_00515","CpxR",-7.59814495469995
"p1k_00784","CpxR",-8.04195210725445
"p1k_00235","CpxR",-6.12390644854888
"p1k_00598","CpxR",-6.17982644732046
"p1k_00655","CpxR",-5.92626442744321
"p1k_00952","CpxR",-6.00714844901372
"p1k_00369","CpxR",-6.03170372837142
"starve_series__t12_starve","CpxR",-6.00383121553683
"p1k_00018","CpxR",-7.87699648848825
"p1k_00110","CpxR",-6.0420601198035
"p1k_00822","CpxR",-5.58723372525106
"p1k_00083","CpxR",-5.99555619105889
"p1k_00339","CpxR",-9.71407277929927
"p1k_00257","CpxR",-6.22793766558191
"p1k_00101","CpxR",-8.67577425661687
"p1k_00591","CpxR",-10.1941735571171
"p1k_00111","CpxR",-6.00306052799995
"p1k_00448","CpxR",-6.20464398205895
"p1k_00378","CpxR",-5.81875103436877
"p1k_00516","CpxR",-5.60580821491119
"p1k_00792","CpxR",-5.98215729279396
"starve_series__t23_growth2","CpxR",-9.54721563569463
"p1k_00077","CpxR",-6.11191774918316
"p1k_00603","CpxR",-5.96789308743041
"p1k_00116","CpxR",-5.90663166077773
"p1k_00751","CpxR",-9.75530948022928
"p1k_00365","CpxR",-5.8394073580036
"p1k_00181","CpxR",-9.36131388834595
"p1k_00292","CpxR",-6.22213655353537
"p1k_00097","CpxR",-6.0868749322451
"p1k_00266","CpxR",-6.02357541423911
"p1k_00052","CpxR",-6.13674202309939
"p1k_00774","CpxR",-9.85670457177996
"p1k_00932","CpxR",-6.40926448241104
"p1k_00626","CpxR",-8.12170823301255
"p1k_00973","CpxR",-5.90054242272599
"p1k_00682","CpxR",-6.30603438988074
"p1k_00890","CpxR",-6.43353574614661
"p1k_01010","CpxR",-5.62515325089749
"p1k_00702","CpxR",-6.2805904616939
"p1k_00900","CpxR",-9.24996482109361
"p1k_00851","CpxR",-5.83281727921713
"p1k_00602","CpxR",-6.37941994303192
"p1k_00219","CpxR",-6.40747231224383
"p1k_00318","CpxR",-6.5332722430021
"p1k_00408","CpxR",-10.0725619200785
"p1k_00497","CpxR",-5.84822250382492
"p1k_00581","CpxR",-10.1012975482054
"p1k_01016","CpxR",-5.87458569682138
"p1k_00855","CpxR",-6.43530019039326
"p1k_00680","CpxR",-6.51247068813948
"p1k_01003","CpxR",-6.71221165596772
"p1k_00788","CpxR",-9.08552415022762
"p1k_00852","CpxR",-5.72682148184365
"p1k_00031","CpxR",-5.6973451618092
"starve_series__t04_starve","CpxR",-5.6282042593266
"p1k_00145","CpxR",-9.5378493071452
"p1k_00078","CpxR",-6.27152778070318
"p1k_00276","CpxR",-9.2441545643742
"p1k_00939","CpxR",-5.89769092041802
"p1k_00810","CpxR",-6.45905441721754
"p1k_00940","CpxR",-6.00518476477763
"p1k_00541","CpxR",-5.80662413126181
"p1k_00060","CpxR",-5.89830052609361
"p1k_00818","CpxR",-6.52908130801725
"p1k_00122","CpxR",-6.06415940196817
"p1k_00392","CpxR",-5.92210234383164
"starve_series__t18_starve","CpxR",-9.41563730549836
"p1k_00636","CpxR",-6.64026456314856
"p1k_00858","CpxR",-8.80263703251735
"p1k_00230","CpxR",-6.14070219637856
"p1k_00846","CpxR",-5.95182922580623
"p1k_00864","CpxR",-9.68892942223979
"p1k_00705","CpxR",-6.16078552237264
"p1k_00033","CpxR",-5.85814417441215
"p1k_00281","CpxR",-9.53906966738825
"p1k_00912","CpxR",-9.25647238222951
"p1k_00812","CpxR",-6.42215737338622
"p1k_00543","CpxR",-6.23028042148074
"p1k_00252","CpxR",-5.69857027040438
"p1k_00489","CpxR",-5.7207962063681
"p1k_00931","CpxR",-6.35514709889296
"p1k_00522","CpxR",-6.30875960859679
"p1k_00438","CpxR",-9.93722399787371
"p1k_00930","CpxR",-6.69436659700256
"p1k_00460","CpxR",-9.94519422939724
"p1k_00089","CpxR",-6.43208068840975
"p1k_01044","CpxR",-6.36518449181537
"p1k_00058","CpxR",-5.8103634454692
"p1k_00136","CpxR",-5.40531944998886
"p1k_00411","CpxR",-10.0362834484897
"p1k_00711","CpxR",-9.91384155941773
"p1k_00137","CpxR",-6.50109555052983
"p1k_00210","CpxR",-5.33612538117532
"p1k_00754","CpxR",-9.12151547408502
"p1k_00184","CpxR",-5.98523779190168
"p1k_00228","CpxR",-5.97221159573507
"p1k_00221","CpxR",-6.27314837071682
"p1k_00644","CpxR",-6.46523095130982
"p1k_01004","CpxR",-6.57423012383563
"p1k_00387","CpxR",-9.20218817322323
"p1k_00255","CpxR",-6.12477067222376
"p1k_00397","CpxR",-8.61277806226905
"p1k_00586","CpxR",-9.96122874789571
"p1k_00823","CpxR",-9.32469493167306
"p1k_00243","CpxR",-6.33584936531185
"p1k_00798","CpxR",-6.14654534031942
"p1k_00035","CpxR",-5.95709403036149
"p1k_00231","CpxR",-6.18489208171901
"p1k_01001","CpxR",-6.31512826436445
