"sample","iM","Val"
"p1k_01022","Fatty Acid",-2.884128446807
"p1k_00716","Fatty Acid",-3.90837037468984
"starve_series__t26_growth2","Fatty Acid",-2.03960396632875
"p1k_00923","Fatty Acid",-5.12588351345399
"p1k_00066","Fatty Acid",-3.55983009770504
"p1k_00008","Fatty Acid",-3.82211491463092
"p1k_00783","Fatty Acid",-6.42021640338319
"p1k_00837","Fatty Acid",-2.68025883551778
"p1k_00350","Fatty Acid",-3.98744196581701
"p1k_00590","Fatty Acid",-4.11095664180268
"p1k_00122","Fatty Acid",-4.67449342437667
"p1k_00892","Fatty Acid",-3.46977324344486
"p1k_00982","Fatty Acid",-2.82474081980175
"p1k_00104","Fatty Acid",-3.92002524537691
"p1k_00317","Fatty Acid",-5.31402589180743
"starve_series__t14_starve","Fatty Acid",-1.89101514803886
"p1k_00134","Fatty Acid",-6.42021640338319
"p1k_01014","Fatty Acid",-4.9040270445294
"p1k_00021","Fatty Acid",-3.28559039812098
"p1k_00813","Fatty Acid",-5.01356432053538
"p1k_00518","Fatty Acid",-3.65298361883184
"p1k_00211","Fatty Acid",-4.82342873107682
"p1k_00745","Fatty Acid",-6.42021640338319
"p1k_01037","Fatty Acid",-2.84180220919264
"p1k_00074","Fatty Acid",-6.42021640338319
"starve_series__t23_growth2","Fatty Acid",-1.96439666417929
"p1k_00351","Fatty Acid",-4.04123589005271
"p1k_00447","Fatty Acid",-6.42021640338319
"p1k_00392","Fatty Acid",-5.41771835706301
"p1k_00682","Fatty Acid",-4.49533515510059
"p1k_00637","Fatty Acid",-4.10592413964731
"p1k_00448","Fatty Acid",-6.42021640338319
"p1k_00475","Fatty Acid",-3.95304309854601
"p1k_00739","Fatty Acid",-4.95317409665293
"p1k_00307","Fatty Acid",-5.46597291488054
"p1k_00178","Fatty Acid",-4.79167849958115
"p1k_00170","Fatty Acid",-4.7635200938097
"p1k_00099","Fatty Acid",-2.85135983262782
"p1k_00626","Fatty Acid",-4.03503547184482
"p1k_00671","Fatty Acid",-4.14341073498185
"p1k_00847","Fatty Acid",-4.2103821727685
"p1k_00175","Fatty Acid",-6.42021640338319
"p1k_00744","Fatty Acid",-4.51515596346049
"p1k_00420","Fatty Acid",-6.42021640338319
"p1k_00036","Fatty Acid",-4.31042732336269
"p1k_00373","Fatty Acid",-4.51936431698229
"p1k_00791","Fatty Acid",-4.77752395178232
"p1k_01054","Fatty Acid",-2.75063335540097
"p1k_00194","Fatty Acid",-6.42021640338319
"p1k_00710","Fatty Acid",-4.86726895703314
"p1k_00593","Fatty Acid",-2.53492355320651
"p1k_00646","Fatty Acid",-4.17315861610753
"starve_series__t25_growth2","Fatty Acid",-2.00945336547884
"p1k_00511","Fatty Acid",-3.95540662612041
"p1k_00026","Fatty Acid",-3.38067158956291
"p1k_00139","Fatty Acid",-6.42021640338319
"p1k_00765","Fatty Acid",-3.72449784917177
"p1k_00491","Fatty Acid",-3.35886744932767
"p1k_00492","Fatty Acid",-3.35003791955174
"p1k_00388","Fatty Acid",-6.42021640338319
"p1k_00012","Fatty Acid",-4.38177973007345
"p1k_00341","Fatty Acid",-4.39326101934306
"p1k_00614","Fatty Acid",-3.73634730940222
"p1k_00811","Fatty Acid",-4.77705427352337
"p1k_00533","Fatty Acid",-4.71494480079815
