,Crp-2_MA,DhaR/Mlc_MA
pal__tartr_ale26__1,0.7975611442014696,-1.1145343021221312
pal__tartr_ale26__2,0.8111474123993156,-1.0899322976227281
pal__tartr_ale28_f10__1,0.5670504256867233,-1.0407929194554497
pal__tartr_ale28_f10__2,0.5848325305786353,-1.1920850626151884
pal__tartr_ale28__1,0.7596904503389793,-0.7880377224649409
pal__tartr_ale28__2,0.5731489624791023,-1.0091242318903741
efeU__delmenFentC_citr__1,0.1336013585951744,0.008311220009908695
efeU__delmenFentC_citr__2,0.14967586295289748,0.1652135599842615
efeU__delmenFentC__1,-0.5618600463715819,-0.2102260457361679
efeU__delmenFentC__2,-0.5531907531160014,-0.1518966330237705
efeU__menFentC_ale39__1,0.2520254473303637,0.4443315089763516
efeU__menFentC_ale39__2,0.24627599339253173,0.5773651368122394
efeU__menFentC_ale29__1,-0.0061566019162694425,0.5111364003691505
efeU__menFentC_ale29__2,-0.03458491652109524,0.42868905592016876
efeU__menFentC_ale30__1,0.12160562177473373,0.016271762031364996
efeU__menFentC_ale30__2,0.12065416297480686,0.116936571097629
efeU__menFentCubiC_ale36__1,-0.22819210178889082,-0.012037621464547364
efeU__menFentCubiC_ale36__2,-0.18647525999552314,-0.03944043531453307
efeU__menFentCubiC_ale37__1,-0.16866551480574418,0.0923462371564043
efeU__menFentCubiC_ale37__2,-0.15365920891194051,0.04104857321512365
efeU__menFentCubiC_ale38__1,0.05717324883137121,-0.2316731954727872
efeU__menFentCubiC_ale38__2,0.010232450015873414,-0.3474360208361462
