,cAct,cInh
ompr__wt_nacl__1,0.011572699960085505,3.850583578430592
ompr__wt_nacl__2,0.012230851979709358,4.730531184357128
ompr__bw_delompr_nacl__1,0.012449503747975868,4.329320493470629
ompr__bw_delompr_nacl__2,0.012449503747975868,4.176063097847929
minspan__wt_ade__1,0.013485930925749953,2.1116604611532255
minspan__wt_glc__1,0.032874214806971364,1.360063215249616
minspan__wt_glc__2,0.029906128938262826,1.3884634614935765
minspan__wt_glc__3,0.029906128938262826,1.2576394010965402
minspan__wt_glc__4,0.02921585338273489,1.360063215249616
minspan__wt_glc_anaero__1,0.034609465717014634,0.6998692573736826
minspan__wt_glc_anaero__2,0.03368405032863662,0.21749784330786198
minspan__wt_trp__1,0.4362712628740434,0.01
minspan__bw_delcra_glc__1,0.032724498333197884,0.31381650609889666
minspan__bw_delcra_glc__2,0.03315056000149796,0.36338258833684295
minspan__bw_delcra_trp__1,0.3309906744262769,0.21749784330786198
minspan__bw_delmntr__1,0.06709403280299461,0.01
minspan__bw_delnac_ade__1,0.049863370220739875,2.115584111003023
minspan__bw_delnac_glc__1,0.06327417963308299,4.085277654775062
cra_crp__wt_ac__1,0.2292696060108496,15.290319461290052
cra_crp__wt_ac__2,0.19694892996323898,15.290319461290052
cra_crp__wt_fru__1,0.183101001144368,6.825441327091858
cra_crp__wt_fru__2,0.1169622894858997,5.090425377675086
cra_crp__delcra_ac__1,0.4805012495792422,15.290319461290052
cra_crp__delcra_ac__2,0.48177639322944715,15.290319461290052
cra_crp__delcra_fru__1,0.01339273843661631,4.412383348607076
cra_crp__delcra_fru__2,0.01339273843661631,4.257241884967383
cra_crp__delcra_glc__1,0.025841963449678745,1.6570378790604954
cra_crp__delcra_glc__2,0.025841963449678745,1.6161078365160837
rpoB__wt_031__1,1.866282063969059,6.825441327091858
rpoB__wt_044__1,0.07728330909439678,1.8303717713978234
rpoB__wt_lb__1,0.35818155897001464,15.290319461290052
rpoB__wt_lb__2,0.3765422048925992,15.290319461290052
rpoB__rpoBE546V_031__1,2.5734655199374994,14.198617754785257
rpoB__rpoBE546V_044__1,0.3054739248414709,1.9623656023068172
rpoB__rpoBE546V_lb__1,0.4459662893326158,14.860612652646651
rpoB__rpoBE546V_lb__2,0.41455741234650917,14.686257693628312
rpoB__rpoBE546V_glc__1,0.06370896730565638,1.2639064469252281
rpoB__rpoBE672K_glc__1,0.02779987573612458,0.5960516986910084
rpoB__rpoBE672K_glc__2,0.021392652983046732,0.5641948370183647
rpoB__rpoBE672K_lb__1,0.2737342043310127,15.290319461290052
rpoB__rpoBE672K_lb__2,0.2646645250714803,15.290319461290052
crp__wt_fru__1,0.1469558909441325,5.090425377675086
crp__wt_glyc__1,0.3853606253257779,13.847218196985342
crp__wt_glyc__2,0.3667091605114066,14.209290513841227
crp__delar1_glyc__1,0.011871433516440981,4.396081589628516
crp__delar1_glyc__2,0.010757648423370932,3.8117370176737917
crp__delar1ar2_glyc__1,0.01,15.290319461290004
crp__delar1ar2_glyc__2,0.01,14.448017365189918
crp__delar1ar2_glyc__3,0.01,13.799129649321674
crp__delar2_glyc__1,0.01,6.777807635113775
crp__delar2_glyc__2,0.01,7.594819896541369
crp__delar2_glyc__3,0.01,8.25145943000142
crp__delcrp_fru__1,0.010757648423370932,5.515929775662368
crp__delcrp_fru__2,0.011572699960085505,4.997955867046442
crp__delcrp_fru__3,0.010967967949222782,5.477699969797371
crp__delcrp_glc__1,0.010757648423370932,6.9435521774116395
crp__delcrp_glc__2,0.010757648423370932,8.337614951483205
crp__delcrp_glc__3,0.010757648423370932,7.685666947966389
crp__delcrp_glyc__1,0.01,8.318086737643581
crp__delcrp_glyc__2,0.010757648423370932,8.337341133149302
crp__delcrp_glyc__3,0.01,6.920479767051893
glu__glu_ale3__1,0.014639719766751054,0.20212069796968005
glu__glu_ale4__1,0.015499014357086519,0.8581813788834173
glu__glu_ale5__1,0.07582357750941189,1.5748798481090216
glu__glu_ale6__1,0.014407437152728474,1.5344251471463486
glu__glu_ale8__1,0.04449144980465676,0.5243061380044483
glu__glu_ale9__1,0.028322879956184252,0.6071182293034275
glu__glu_ale10__1,0.01433095211906888,1.1745479832611803
42c__wt_42c__1,0.02233010752789603,1.5870440460132804
42c__42c_ale1__1,4.6792549089919175,0.01
42c__42c_ale2__1,0.03217196208218309,1.13149533162438
42c__42c_ale3__1,0.013499808477651549,1.5748798481090216
42c__42c_ale4__1,0.03244610599621763,1.8236259228029235
42c__42c_ale5__1,0.013960545586591053,2.6312165068935354
42c__42c_ale6__1,0.04005249625218759,0.21486249558405035
42c__42c_ale8__1,0.02779987573612458,0.16731631229109775
42c__42c_ale9__1,0.014740196850277828,1.9623656023068172
42c__42c_ale10__1,0.028042076711859352,1.0915071826233984
ssw__wt_ac__1,0.1913747947659034,15.290319461290052
ssw__wt_glc__1,0.020434568562472964,1.8236259228029235
ssw__wt_glyc__1,0.07148948443575955,0.814047853621819
ssw__wt_xyl__1,0.4234506363919436,3.7964476264451563
ssw__glc_ale1__1,0.12729614572180534,0.07240898687348472
ssw__glc_ale2__1,0.03936467054561308,0.21749784330786198
ssw__glc_ale3__1,0.0965068942283917,0.07791779189013427
ssw__glyc_ale1__1,0.046351552177901614,3.5649264852198734
ssw__glyc_ale2__1,0.05364126060391034,1.3638595697630715
ssw__xyl_ale1__1,0.03217196208218309,3.6133183967302296
ssw__xyl_ale2__1,0.12820355455932644,8.504782950223674
ssw__xyl_ale3__1,0.014407437152728474,3.29898705350865
ssw__glc_ac_ac2__1,0.27360660098906464,15.290319461290052
ssw__glc_ac_glc1__1,0.014407437152728474,1.3706389619668917
ssw__glc_ac_glc2__1,0.10535386648947348,0.06728965558260826
ssw__glc_glyc_glc__1,0.037231646430435264,0.6089888622951469
ssw__glc_glyc_glyc__1,0.14769657657033117,6.825441327091858
ssw__glc_xyl_glc__1,0.043878690402881566,0.9426235087389749
ssw__glc_xyl_xyl__1,0.11134544187324104,4.953985446012273
pgi__glu4_delpgi__1,0.5526754212714013,8.504782950223674
pgi__pgi_ale1__1,0.0710906995548223,1.8236259228029235
pgi__pgi_ale2__1,0.11620095945247727,1.5748798481090216
pgi__pgi_ale3__1,0.09983497791405842,2.272313527079786
pgi__pgi_ale5__1,0.10350351442174265,1.416722125673644
pgi__pgi_ale6__1,0.06471900624115,1.5748798481090216
pgi__pgi_ale7__1,0.10350351442174265,2.3681851527255433
pgi__pgi_ale8__1,0.03632917545741014,1.0915071826233984
ica__wt_glc__1,0.10544687497672885,1.1745479832611803
ica__wt_glc__2,0.055382064661208506,0.5641948370183647
ica__wt_glc__3,0.0430870673159416,1.4236870151275631
ica__wt_glc__4,0.037231646430435264,1.5924952601341746
ica__arg_sbt__1,0.7999094097411891,14.33807254224132
ica__arg_sbt__2,0.6912037921142812,14.149108323581046
ica__cytd_rib__1,0.12885673907221595,1.2112915722289008
ica__cytd_rib__2,0.16042024560315007,1.5716303820516297
ica__gth__1,0.011572699960085505,5.569364900868228
ica__gth__2,0.011572699960085505,6.564333124754684
ica__leu_glcr__1,0.13861954959209435,14.35143957970723
ica__leu_glcr__2,0.12885673907221595,15.104227660059092
ica__met_glc__1,0.10552345236226686,1.5748798481090216
ica__met_glc__2,0.10621450925269581,1.5748798481090216
ica__no3_anaero__1,0.025841963449678745,2.286593552852125
ica__no3_anaero__2,0.025841963449678745,2.1278517111451207
ica__phe_acgam__1,0.0703629317019988,0.5641948370183647
ica__phe_acgam__2,0.0542593937717152,0.4527897748426046
ica__thm_gal__1,0.4070045266467362,15.290319461290052
ica__thm_gal__2,0.4208555835915019,15.290319461290052
ica__tyr_glcn__1,0.11134544187324104,11.990225473931886
ica__tyr_glcn__2,0.10350351442174265,11.191989833674619
ica__ura_pyr__1,0.41455741234650917,14.476436961476626
ica__ura_pyr__2,0.1957559248069886,15.290319461290052
ica__wt_glc__5,0.06496537342659538,1.0915071826233984
ica__wt_glc__6,0.08943765480720012,1.3907717406089553
