,RNAP
ica__wt_glc__4,6.855314891076627e-08
ica__arg_sbt__1,6.855314891076627e-08
ica__arg_sbt__2,6.855314891076627e-08
ica__cytd_rib__1,6.855314891076627e-08
ica__cytd_rib__2,6.855314891076627e-08
ica__gth__1,6.855314891076627e-08
ica__gth__2,6.855314891076627e-08
ica__leu_glcr__1,6.855314891076627e-08
ica__leu_glcr__2,6.855314891076627e-08
ica__met_glc__1,6.855314891076627e-08
ica__met_glc__2,6.855314891076627e-08
ica__no3_anaero__1,6.855314891076627e-08
ica__no3_anaero__2,6.855314891076627e-08
ica__phe_acgam__1,6.855314891076627e-08
ica__phe_acgam__2,6.855314891076627e-08
ica__thm_gal__1,6.855314891076627e-08
ica__thm_gal__2,6.855314891076627e-08
ica__tyr_glcn__1,6.855314891076627e-08
ica__tyr_glcn__2,6.855314891076627e-08
ica__ura_pyr__1,6.855314891076627e-08
ica__ura_pyr__2,6.855314891076627e-08
ica__wt_glc__5,6.855314891076627e-08
ica__wt_glc__6,6.855314891076627e-08
ica__bw_delpurR_cytd__1,6.855314891076627e-08
ica__bw_delpurR_cytd__2,6.855314891076627e-08
ica__ade_glc__1,6.855314891076627e-08
ica__ade_glc__2,6.855314891076627e-08
ytf__wt_glc__1,6.855314891076627e-08
ytf__wt_glc__2,6.855314891076627e-08
ytf__delyafC__1,6.855314891076627e-08
ytf__delyafC__2,6.855314891076627e-08
ytf__delyeiE__1,6.855314891076627e-08
ytf__delyeiE__2,6.855314891076627e-08
ytf__delyiaJ__1,6.855314891076627e-08
ytf__delyiaJ__2,6.855314891076627e-08
ytf__delyieP__1,6.855314891076627e-08
ytf__delyieP__2,6.855314891076627e-08
ytf__wt_ph5__1,6.855314891076627e-08
ytf__wt_ph5__2,6.855314891076627e-08
ytf__wt_ph8__1,6.855314891076627e-08
ytf__wt_ph8__2,6.855314891076627e-08
ytf__delybaO__1,6.855314891076627e-08
ytf__delybaO__2,6.855314891076627e-08
ytf__delybaQ__1,6.855314891076627e-08
ytf__delybaQ__2,6.855314891076627e-08
ytf__delybiH__1,6.855314891076627e-08
ytf__delybiH__2,6.855314891076627e-08
ytf__delydcI_ph5__1,6.855314891076627e-08
ytf__delydcI_ph5__2,6.855314891076627e-08
ytf__delydcI_ph8__1,6.855314891076627e-08
ytf__delydcI_ph8__2,6.855314891076627e-08
ytf__delyddM__1,6.855314891076627e-08
ytf__delyddM__2,6.855314891076627e-08
ytf__delyheO__1,6.855314891076627e-08
ytf__delyheO__2,6.855314891076627e-08
fps__bw_glc__1,6.855314891076627e-08
fps__bw_glc__2,6.855314891076627e-08
fps__fps_thrA_ale1__1,6.855314891076627e-08
fps__fps_thrA_ale1__2,6.855314891076627e-08
fps__fps_thrA_ale2__1,6.855314891076627e-08
fps__fps_thrA_ale2__2,6.855314891076627e-08
fps__fps_serB_ale1__1,6.855314891076627e-08
fps__fps_serB_ale1__2,6.855314891076627e-08
fps__fps_serB_ale4__1,6.855314891076627e-08
fps__fps_serB_ale4__2,6.855314891076627e-08
fps__fps_ptsI_ale1__1,6.855314891076627e-08
fps__fps_ptsI_ale1__2,6.855314891076627e-08
fps__fps_ptsI_ale3__1,6.855314891076627e-08
fps__fps_ptsI_ale3__2,6.855314891076627e-08
pal__lyx_ale2_f6__1,6.855314891076627e-08
pal__lyx_ale2__1,6.855314891076627e-08
pal__lyx_ale2__2,6.855314891076627e-08
pal__lyx_ale4__1,6.855314891076627e-08
pal__lyx_ale4__2,6.855314891076627e-08
pal__5drib_ale10_f18__1,6.855314891076627e-08
pal__5drib_ale10_f18__2,6.855314891076627e-08
pal__5drib_ale10__1,6.855314891076627e-08
pal__arab_ale14_f9__1,6.855314891076627e-08
pal__arab_ale14_f9__2,6.855314891076627e-08
pal__arab_ale14__1,6.855314891076627e-08
pal__arab_ale14__2,6.855314891076627e-08
pal__arab_ale16__1,6.855314891076627e-08
pal__arab_ale16__2,6.855314891076627e-08
pal__tartr_ale26_f10__1,6.855314891076627e-08
pal__tartr_ale26_f10__2,6.855314891076627e-08
pal__tartr_ale26__1,6.855314891076627e-08
pal__tartr_ale26__2,6.855314891076627e-08
pal__tartr_ale28_f10__1,6.855314891076627e-08
pal__tartr_ale28_f10__2,6.855314891076627e-08
pal__tartr_ale28__1,6.855314891076627e-08
pal__tartr_ale28__2,6.855314891076627e-08
efeU__delmenFentC_citr__1,6.855314891076627e-08
efeU__delmenFentC_citr__2,6.855314891076627e-08
efeU__delmenFentC__1,6.855314891076627e-08
efeU__delmenFentC__2,6.855314891076627e-08
efeU__menFentC_ale39__1,6.855314891076627e-08
efeU__menFentC_ale39__2,6.855314891076627e-08
efeU__menFentC_ale29__1,6.855314891076627e-08
efeU__menFentC_ale29__2,6.855314891076627e-08
efeU__menFentC_ale30__1,6.855314891076627e-08
efeU__menFentC_ale30__2,6.855314891076627e-08
efeU__menFentCubiC_ale36__1,6.855314891076627e-08
efeU__menFentCubiC_ale36__2,6.855314891076627e-08
efeU__menFentCubiC_ale37__1,6.855314891076627e-08
efeU__menFentCubiC_ale37__2,6.855314891076627e-08
efeU__menFentCubiC_ale38__1,6.855314891076627e-08
efeU__menFentCubiC_ale38__2,6.855314891076627e-08
