gene_name,gene_id,tu_name,tu_id
fkpB,b0028,ileS-lspA-fkpB-ispH,ECK120030635
fkpB,b0028,ileS-lspA-fkpB-ispH,ECK120033554
ispH,b0029,ribF-ileS-lspA-fkpB-ispH,ECK120009479
ispH,b0029,lspA-fkpB-ispH,ECK120029296
ispH,b0029,ileS-lspA-fkpB-ispH,ECK120030634
ispH,b0029,ileS-lspA-fkpB-ispH,ECK120030635
ispH,b0029,ileS-lspA-fkpB-ispH,ECK120033554
rihC,b0030,rihC,ECK120026514
dapB,b0031,dapB,ECK120011048
dapB,b0031,dapB,ECK120030636
carA,b0032,carAB,ECK120009301
carA,b0032,carAB,ECK120009302
carB,b0033,carAB,ECK120009301
carB,b0033,carAB,ECK120009302
carB,b0033,carB,ECK120011049
caiF,b0034,caiF,ECK120009715
caiE,b0035,caiTABCDE,ECK120009437
caiE,b0035,caiCDE,ECK120033587
caiD,b0036,caiTABCDE,ECK120009437
caiD,b0036,caiCDE,ECK120033587
caiC,b0037,caiTABCDE,ECK120009437
caiC,b0037,caiCDE,ECK120033587
caiB,b0038,caiTABCDE,ECK120009437
caiA,b0039,caiTABCDE,ECK120009437
caiT,b0040,caiTABCDE,ECK120009437
fixA,b0041,fixABCX,ECK120009716
fixB,b0042,fixABCX,ECK120009716
fixC,b0043,fixABCX,ECK120009716
fixX,b0044,fixABCX,ECK120009716
yaaU,b0045,yaaU,ECK120026516
kefF,b0046,kefFC,ECK120026517
kefC,b0047,kefFC,ECK120026517
folA,b0048,folA,ECK120009121
apaH,b0049,rsmA-apaGH,ECK120009075
apaH,b0049,pdxA-rsmA-apaGH,ECK120009076
apaH,b0049,apaGH,ECK120009077
apaH,b0049,surA-pdxA-rsmA-apaGH,ECK120009550
apaG,b0050,rsmA-apaGH,ECK120009075
apaG,b0050,pdxA-rsmA-apaGH,ECK120009076
apaG,b0050,apaGH,ECK120009077
apaG,b0050,surA-pdxA-rsmA-apaGH,ECK120009550
rsmA,b0051,rsmA-apaGH,ECK120009075
rsmA,b0051,pdxA-rsmA-apaGH,ECK120009076
rsmA,b0051,pdxA-rsmA,ECK120009078
rsmA,b0051,surA-pdxA-rsmA-apaGH,ECK120009550
pdxA,b0052,pdxA-rsmA-apaGH,ECK120009076
pdxA,b0052,pdxA-rsmA,ECK120009078
pdxA,b0052,surA-pdxA-rsmA-apaGH,ECK120009550
pdxA,b0052,lptD-surA-pdxA,ECK120010955
surA,b0053,surA-pdxA-rsmA-apaGH,ECK120009550
surA,b0053,lptD-surA-pdxA,ECK120010955
lptD,b0054,lptD,ECK120010953
lptD,b0054,lptD,ECK120010954
lptD,b0054,lptD-surA-pdxA,ECK120010955
djlA,b0055,djlA,ECK120026518
yabP,b4659,yabPQ,ECK120026519
rluA,b0058,rapA-rluA,ECK120010940
rapA,b0059,rapA-rluA,ECK120010940
rapA,b0059,rapA,ECK120033568
polB,b0060,polB,ECK120015327
araD,b0061,araBAD,ECK120009405
araA,b0062,araBAD,ECK120009405
araB,b0063,araBAD,ECK120009405
araC,b0064,araC,ECK120009196
yabI,b0065,yabI,ECK120026521
thiQ,b0066,sgrR-sroA-tbpA-thiPQ,ECK120026522
thiP,b0067,sgrR-sroA-tbpA-thiPQ,ECK120026522
thiB,b0068,sgrR-sroA-tbpA-thiPQ,ECK120026522
sgrR,b0069,sgrR-sroA-tbpA-thiPQ,ECK120026522
sgrS,b4577,sgrST-setA,ECK120026523
sgrT,b4662,sgrST-setA,ECK120026523
setA,b0070,sgrST-setA,ECK120026523
leuD,b0071,leuLABCD,ECK120009370
leuD,b0071,leuLABCD,ECK125141553
leuC,b0072,leuLABCD,ECK120009370
leuC,b0072,leuLABCD,ECK125141553
leuB,b0073,leuLABCD,ECK120009370
leuB,b0073,leuLABCD,ECK125141553
leuA,b0074,leuLABCD,ECK120009370
leuA,b0074,leuLABCD,ECK125141553
leuL,b0075,leuLABCD,ECK120009370
leuL,b0075,leuLABCD,ECK125141553
leuL,b0075,leuL,ECK125158014
leuO,b0076,leuO,ECK120026524
leuO,b0076,leuO,ECK125141551
leuO,b0076,leuO,ECK125141552
leuO,b0076,leuO,ECK125257179
ilvI,b0077,ilvIH,ECK120009173
ilvI,b0077,ilvIH,ECK120009174
ilvI,b0077,ilvIH,ECK120009175
ilvI,b0077,ilvIH,ECK120009274
ilvH,b0078,ilvIH,ECK120009173
ilvH,b0078,ilvIH,ECK120009174
ilvH,b0078,ilvIH,ECK120009175
ilvH,b0078,ilvIH,ECK120009274
cra,b0080,cra,ECK120026525
mraZ,b0081,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189
rsmH,b0082,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189
rsmH,b0082,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033221
ftsL,b0083,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189
ftsL,b0083,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033221
ftsL,b0083,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033235
ftsL,b0083,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033236
ftsI,b0084,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189
ftsI,b0084,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033221
ftsI,b0084,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033235
ftsI,b0084,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033236
murE,b0085,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189
murE,b0085,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033221
murE,b0085,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033235
murE,b0085,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033236
murF,b0086,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189
murF,b0086,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033221
murF,b0086,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033235
murF,b0086,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033236
mraY,b0087,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189
mraY,b0087,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033221
mraY,b0087,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033235
mraY,b0087,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033236
murD,b0088,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189
murD,b0088,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033221
murD,b0088,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033235
murD,b0088,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033236
ftsW,b0089,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189
ftsW,b0089,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033221
ftsW,b0089,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033235
ftsW,b0089,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033236
murG,b0090,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189
murG,b0090,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033221
murG,b0090,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033235
murG,b0090,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033236
murC,b0091,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189
murC,b0091,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033221
murC,b0091,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033235
murC,b0091,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033236
ddlB,b0092,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189
ddlB,b0092,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033221
ddlB,b0092,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033235
ddlB,b0092,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033236
ftsQ,b0093,ftsQ,ECK120009009
ftsQ,b0093,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189
ftsQ,b0093,ftsQAZ,ECK120009401
ftsQ,b0093,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033221
ftsQ,b0093,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033235
ftsQ,b0093,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033236
ftsA,b0094,ftsAZ,ECK120008949
ftsA,b0094,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189
ftsA,b0094,ftsQAZ,ECK120009401
ftsA,b0094,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033221
ftsA,b0094,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033235
ftsA,b0094,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033236
ftsZ,b0095,ftsAZ,ECK120008949
ftsZ,b0095,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189
ftsZ,b0095,ftsQAZ,ECK120009401
ftsZ,b0095,ftsZ,ECK120011112
ftsZ,b0095,ftsZ,ECK120011113
ftsZ,b0095,ftsZ,ECK120011114
ftsZ,b0095,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033221
ftsZ,b0095,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033235
ftsZ,b0095,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033236
lpxC,b0096,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120009189
lpxC,b0096,lpxC,ECK120026526
lpxC,b0096,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033221
lpxC,b0096,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033235
lpxC,b0096,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,ECK120033236
lpxC,b0096,lpxC,ECK120034115
secM,b0097,secMA-mutT,ECK120009022
secA,b0098,secMA-mutT,ECK120009022
mutT,b0099,secMA-mutT,ECK120009022
yacG,b0101,coaE-zapD-yacG,ECK120026527
yacG,b0101,yacG,ECK120033572
zapD,b0102,coaE-zapD-yacG,ECK120026527
coaE,b0103,coaE-zapD-yacG,ECK120026527
guaC,b0104,guaC,ECK120021221
hofC,b0106,ppdD-hofBC,ECK120026528
hofB,b0107,ppdD-hofBC,ECK120026528
ppdD,b0108,ppdD-hofBC,ECK120026528
nadC,b0109,nadC,ECK120026529
ampD,b0110,ampDE,ECK120009427
ampE,b0111,ampDE,ECK120009427
aroP,b0112,aroP,ECK120009205
aroP,b0112,aroP,ECK120009805
pdhR,b0113,pdhR-aceEF-lpd,ECK120009703
aceE,b0114,aceEF,ECK120009148
aceE,b0114,pdhR-aceEF-lpd,ECK120009703
aceF,b0115,aceEF,ECK120009148
aceF,b0115,pdhR-aceEF-lpd,ECK120009703
lpd,b0116,pdhR-aceEF-lpd,ECK120009703
lpd,b0116,lpd,ECK120009704
yacH,b0117,yacH,ECK120020483
acnB,b0118,acnB,ECK120009828
acnB,b0118,acnB,ECK120034117
yacL,b0119,yacL,ECK120026530
speD,b0120,yacC-speED,ECK120009547
speE,b0121,yacC-speED,ECK120009547
yacC,b0122,yacC-speED,ECK120009547
cueO,b0123,cueO,ECK120010915
gcd,b0124,gcd,ECK120008966
gcd,b0124,gcd,ECK120009178
hpt,b0125,hpt,ECK120010904
can,b0126,can,ECK120021196
yadG,b0127,yadGH,ECK120026531
yadH,b0128,yadGH,ECK120026531
yadI,b0129,yadI,ECK120029299
yadE,b0130,yadE,ECK120026532
panD,b0131,panD,ECK120020432
panD,b0131,panD,ECK125203405
yadD,b0132,rpnC,ECK120020484
panC,b0133,panBC,ECK120009501
panB,b0134,panBC,ECK120009501
yadC,b0135,yadC,ECK120026533
yadC,b0135,yadMLKC,ECK120030130
yadK,b0136,yadMLKC,ECK120030130
yadL,b0137,yadMLKC,ECK120030130
yadM,b0138,yadMLKC,ECK120030130
htrE,b0139,yadV-htrE,ECK120009453
htrE,b0139,yadV-htrE,ECK120009589
htrE,b0139,yadV-htrE,ECK120009590
yadV,b0140,yadV-htrE,ECK120009453
yadV,b0140,yadV-htrE,ECK120009589
yadV,b0140,yadV-htrE,ECK120009590
yadN,b0141,yadN,ECK120030131
folK,b0142,pcnB-folK,ECK120009503
folK,b0142,pcnB-folK,ECK120016332
folK,b0142,pcnB-folK,ECK120016333
folK,b0142,pcnB-folK,ECK125122031
pcnB,b0143,pcnB-folK,ECK120009503
pcnB,b0143,pcnB-folK,ECK120016332
pcnB,b0143,pcnB-folK,ECK120016333
pcnB,b0143,pcnB-folK,ECK125122031
gluQ,b0144,dksA-gluQ,ECK120033746
gluQ,b0144,dksA-gluQ,ECK120034541
gluQ,b0144,dksA-gluQ,ECK125145765
dksA,b0145,sfsA-dksA,ECK120009546
dksA,b0145,dksA-gluQ,ECK120033746
dksA,b0145,dksA-gluQ,ECK120034541
dksA,b0145,dksA-gluQ,ECK125145765
sfsA,b0146,sfsA-dksA,ECK120009546
ligT,b0147,thpR,ECK120030170
hrpB,b0148,hrpB,ECK120026534
mrcB,b0149,mrcB,ECK120026535
fhuA,b0150,fhuACDB,ECK120009213
fhuC,b0151,fhuACDB,ECK120009213
fhuD,b0152,fhuACDB,ECK120009213
fhuB,b0153,fhuACDB,ECK120009213
hemL,b0154,hemL,ECK120015491
hemL,b0154,hemL,ECK125109027
hemL,b0154,hemL,ECK125109028
clcA,b0155,clcA,ECK120026536
erpA,b0156,erpA,ECK120020534
yadS,b0157,mtn-btuF-yadS,ECK120026537
btuF,b0158,mtn-btuF-yadS,ECK120026537
mtn,b0159,mtn-btuF-yadS,ECK120026537
dgt,b0160,dgt,ECK120026538
dgt,b0160,dgt,ECK120030633
degP,b0161,degP,ECK120011050
cdaR,b0162,cdaR,ECK120009029
yaeH,b0163,yaeH,ECK120026540
yaeI,b0164,yaeI,ECK120026541
dapD,b0166,dapD,ECK120011051
dapD,b0166,map-glnD-dapD,ECK120026542
glnD,b0167,map-glnD-dapD,ECK120026542
glnD,b0167,glnD,ECK125109847
map,b0168,map-glnD-dapD,ECK120026542
tff,b4414,tff-rpsB-tsf,ECK120009533
rpsB,b0169,tff-rpsB-tsf,ECK120009533
tsf,b0170,tff-rpsB-tsf,ECK120009533
pyrH,b0171,pyrH,ECK120010878
frr,b0172,frr,ECK125160639
dxr,b0173,dxr,ECK120026546
ispU,b0174,ispU,ECK120030165
ispU,b0174,ispU,ECK120034118
cdsA,b0175,cdsA,ECK120030166
rseP,b0176,rseP,ECK120010951
bamA,b0177,bamA,ECK120010948
bamA,b0177,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,ECK120016562
skp,b0178,skp-lpxD-fabZ-lpxA,ECK120010943
skp,b0178,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,ECK120016562
lpxD,b0179,skp-lpxD-fabZ-lpxA,ECK120010943
lpxD,b0179,lpxD,ECK120010944
lpxD,b0179,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,ECK120016562
fabZ,b0180,fabZ,ECK120009457
fabZ,b0180,skp-lpxD-fabZ-lpxA,ECK120010943
fabZ,b0180,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,ECK120016562
lpxA,b0181,skp-lpxD-fabZ-lpxA,ECK120010943
lpxA,b0181,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,ECK120016562
lpxB,b0182,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,ECK120016562
rnhB,b0183,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,ECK120016562
dnaE,b0184,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE,ECK120016562
accA,b0185,accA,ECK120009420
accA,b0185,accA,ECK125203406
ldcC,b0186,ldcC,ECK120008926
yaeR,b0187,yaeR,ECK120026547
tilS,b0188,tilS,ECK120026548
rof,b0189,yaeP-rof,ECK120026549
yaeP,b4406,yaeP-rof,ECK120026549
yaeQ,b0190,yaeQ-arfB-nlpE,ECK120026550
arfB,b0191,yaeQ-arfB-nlpE,ECK120026550
nlpE,b0192,yaeQ-arfB-nlpE,ECK120026550
yaeF,b0193,yaeF,ECK120026551
proS,b0194,proS,ECK120011052
tsaA,b0195,rcsF-trmO,ECK120026552
rcsF,b0196,rcsF-trmO,ECK120026552
metQ,b0197,metNIQ,ECK120008970
metI,b0198,metNIQ,ECK120008970
metN,b0199,metNIQ,ECK120008970
gmhB,b0200,gmhB,ECK120026553
rrsH,b0201,rrsH-ileV-alaV-rrlH-rrfH,ECK120008934
rrsH,b0201,rrsH-ileV-alaV-rrlH-rrfH,ECK120008935
ileV,b0202,rrsH-ileV-alaV-rrlH-rrfH,ECK120008934
ileV,b0202,rrsH-ileV-alaV-rrlH-rrfH,ECK120008935
alaV,b0203,rrsH-ileV-alaV-rrlH-rrfH,ECK120008934
alaV,b0203,rrsH-ileV-alaV-rrlH-rrfH,ECK120008935
rrlH,b0204,rrsH-ileV-alaV-rrlH-rrfH,ECK120008934
rrlH,b0204,rrsH-ileV-alaV-rrlH-rrfH,ECK120008935
rrlH,b0204,rrlH-rrfH,ECK120033584
rrfH,b0205,rrsH-ileV-alaV-rrlH-rrfH,ECK120008934
rrfH,b0205,rrsH-ileV-alaV-rrlH-rrfH,ECK120008935
rrfH,b0205,rrlH-rrfH,ECK120033584
aspU,b0206,aspU,ECK120030195
dkgB,b0207,dkgB,ECK120026554
yafC,b0208,yafC,ECK120020485
yafD,b0209,yafDE,ECK120026555
yafE,b0210,yafDE,ECK120026555
mltD,b0211,mltD,ECK120026556
gloB,b0212,gloB,ECK120026557
yafS,b0213,yafS,ECK120020487
rnhA,b0214,rnhA,ECK120009166
dnaQ,b0215,dnaQ,ECK120009153
dnaQ,b0215,dnaQ,ECK120009154
dnaQ,b0215,dnaQ,ECK120026558
aspV,b0216,aspV,ECK120009671
yafT,b0217,yafT,ECK120026559
yafU,b0218,yafU,ECK120020488
yafF,b4503,yafF,ECK120020486
yafV,b0219,yafV,ECK120020489
ivy,b0220,ivy,ECK120021254
ivy,b0220,ivy,ECK125135352
fadE,b0221,fadE,ECK120021211
gmhA,b0222,lpcA,ECK120026561
yafJ,b0223,yafJ,ECK120026562
yafK,b0224,yafK,ECK120026563
yafQ,b0225,dinJ-yafQ,ECK120026564
dinJ,b0226,dinJ-yafQ,ECK120026564
yafL,b0227,yafL,ECK120026565
rayT,b0228,rayT,ECK120026566
lfhA,b0229,lfhA,ECK120027916
lafU,b0230,lafU,ECK120026567
dinB,b0231,dinB-yafNOP,ECK120026568
yafN,b0232,dinB-yafNOP,ECK120026568
yafN,b0232,yafNOP,ECK120026569
yafO,b0233,dinB-yafNOP,ECK120026568
yafO,b0233,yafNOP,ECK120026569
yafP,b0234,dinB-yafNOP,ECK120026568
yafP,b0234,yafNOP,ECK120026569
ykfJ,b0235,ykfJ-prfH,ECK120026570
prfH,b0236,ykfJ-prfH,ECK120026570
pepD,b0237,pepD,ECK120009125
pepD,b0237,pepD,ECK120011053
pepD,b0237,pepD,ECK120026304
gpt,b0238,gpt,ECK120026571
gpt,b0238,gpt,ECK120034540
frsA,b0239,frsA,ECK120026572
phoE,b0241,phoE,ECK120009279
proB,b0242,proBA,ECK120009513
proA,b0243,proBA,ECK120009513
thrW,b0244,thrW,ECK120009672
ykfI,b0245,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,ECK120026574
ykfI,b0245,ykfGH-yafW-ykfI,ECK120033757
ykfI,b0245,ykfBF-yafX-ykfGH-yafW-ykfI,ECK125109038
ykfI,b0245,ykfBF-yafX-ykfGH-yafW-ykfI,ECK125109039
yafW,b0246,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,ECK120026574
yafW,b0246,ykfGH-yafW-ykfI,ECK120033757
yafW,b0246,ykfBF-yafX-ykfGH-yafW-ykfI,ECK125109038
yafW,b0246,ykfBF-yafX-ykfGH-yafW-ykfI,ECK125109039
ykfH,b4504,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,ECK120026574
ykfH,b4504,ykfGH-yafW-ykfI,ECK120033757
ykfH,b4504,ykfBF-yafX-ykfGH-yafW-ykfI,ECK125109038
ykfH,b4504,ykfBF-yafX-ykfGH-yafW-ykfI,ECK125109039
ykfG,b0247,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,ECK120026574
ykfG,b0247,ykfGH-yafW-ykfI,ECK120033757
ykfG,b0247,ykfBF-yafX-ykfGH-yafW-ykfI,ECK125109038
ykfG,b0247,ykfBF-yafX-ykfGH-yafW-ykfI,ECK125109039
yafX,b0248,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,ECK120026574
yafX,b0248,ykfBF-yafX-ykfGH-yafW-ykfI,ECK125109038
yafX,b0248,ykfBF-yafX-ykfGH-yafW-ykfI,ECK125109039
ykfF,b0249,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,ECK120026574
ykfF,b0249,ykfBF-yafX-ykfGH-yafW-ykfI,ECK125109038
ykfF,b0249,ykfBF-yafX-ykfGH-yafW-ykfI,ECK125109039
ykfB,b0250,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,ECK120026574
ykfB,b0250,ykfBF-yafX-ykfGH-yafW-ykfI,ECK125109038
ykfB,b0250,ykfBF-yafX-ykfGH-yafW-ykfI,ECK125109039
yafY,b0251,yafY-ykfBF-yafX-ykfGH-yafW-ykfI,ECK120026574
yafZ,b0252,ykfA-yafZ,ECK120026575
yafZ,b0252,yafZ,ECK120034119
ykfA,b0253,ykfA-yafZ,ECK120026575
perR,b0254,perR,ECK120026576
ykfC,b0258,ykfC,ECK120026578
mmuP,b0260,mmuPM,ECK120026579
mmuM,b0261,mmuPM,ECK120026579
afuC,b0262,insA-2AB-2B-2-afuBC,ECK120026580
afuB,b0263,insA-2AB-2B-2-afuBC,ECK120026580
insX,b4505,yagAB-insX,ECK120026581
yagB,b0266,yagAB-insX,ECK120026581
yagA,b0267,yagAB-insX,ECK120026581
yagE,b0268,yagEF,ECK120026582
yagF,b0269,yagEF,ECK120026582
yagG,b0270,yagGH,ECK120026583
yagH,b0271,yagGH,ECK120026583
yagI,b0272,xynR,ECK120026584
argF,b0273,argF,ECK120009198
yagJ,b0276,yagJ,ECK120020490
yagK,b0277,yagK,ECK120026586
yagL,b0278,yagML,ECK120026587
yagM,b0279,yagML,ECK120026587
yagN,b0280,yagN,ECK120026588
intF,b0281,intF,ECK120026589
yagP,b4694,yagP,ECK120026590
ykgT,b4695,yagP,ECK120026590
paoD,b0283,paoABCD,ECK120026591
paoC,b0284,paoABCD,ECK120026591
paoB,b0285,paoABCD,ECK120026591
paoA,b0286,paoABCD,ECK120026591
yagU,b0287,yagU,ECK120020491
ykgJ,b0288,ykgJ,ECK120026592
ecpE,b0289,ecpBCDE,ECK120026593
ecpE,b0289,ecpBCDE,ECK120034120
ecpD,b0290,ecpBCDE,ECK120026593
ecpD,b0290,ecpBCDE,ECK120034120
