"sample","iM","Val"
"p1k_00963","SoxS",-8.94377081287118
"p1k_00135","SoxS",-9.01336127050796
"p1k_00953","SoxS",-8.94934953032543
"starve_series__t01_starve","SoxS",-9.00112931842084
"p1k_00679","SoxS",-9.0510207267823
"p1k_00170","SoxS",-8.90563768958805
"p1k_00705","SoxS",-9.0390161137978
"p1k_00066","SoxS",-8.82104556396941
"p1k_00118","SoxS",-8.8883354659726
"starve_series__t28_growth2","SoxS",-8.93816426142835
"p1k_00903","SoxS",-9.05537385691125
"p1k_00714","SoxS",-9.00573548637568
"p1k_00467","SoxS",-9.05297610288725
"p1k_00259","SoxS",-9.04247775600737
"p1k_00824","SoxS",-8.81696103213967
"p1k_00427","SoxS",-9.00965218393412
"p1k_00676","SoxS",-9.0011379342383
"p1k_00753","SoxS",-9.03870391968611
"p1k_00766","SoxS",-9.02538770551487
"p1k_00877","SoxS",-9.06167724246056
"p1k_00879","SoxS",-9.10397257115915
"p1k_00108","SoxS",-8.93223741813063
"p1k_00562","SoxS",-9.03262910579536
"starve_series__t12_starve","SoxS",-9.02429791949405
"p1k_00305","SoxS",-9.06262177637405
"p1k_00307","SoxS",-9.00929702847712
"p1k_00582","SoxS",-8.28635284112284
"p1k_00133","SoxS",-9.01042562939577
"p1k_00076","SoxS",-9.00319908267695
"p1k_00053","SoxS",-8.95345121335674
"p1k_00098","SoxS",-8.91916380163823
"p1k_00707","SoxS",-9.01045486186547
"p1k_00337","SoxS",-9.14781959970635
"p1k_00267","SoxS",-9.00732722700043
"p1k_00418","SoxS",-9.03677543570423
"p1k_00478","SoxS",-9.0155794487327
"p1k_00453","SoxS",-9.04829028755573
"p1k_00269","SoxS",-9.025957513966
"p1k_00507","SoxS",-8.99970948567189
"p1k_00130","SoxS",-8.97524382097721
"p1k_00857","SoxS",-9.1097105685781
"p1k_00331","SoxS",-9.1216139359862
"p1k_00044","SoxS",-8.96895902674586
"p1k_00227","SoxS",-8.97136200631532
"p1k_00844","SoxS",-8.65500987367902
"p1k_00726","SoxS",-8.8174725560258
"p1k_00639","SoxS",-8.98193245312325
"p1k_00633","SoxS",-9.02335431338862
"p1k_00895","SoxS",-9.07097094719149
"p1k_00011","SoxS",-8.91044090265153
"p1k_01020","SoxS",-8.99275044195324
"p1k_00085","SoxS",-8.94956478990487
"p1k_00865","SoxS",-8.94787830033649
"p1k_00067","SoxS",-8.81641431552855
"p1k_00825","SoxS",-8.87587694726201
"p1k_00008","SoxS",-8.85932872249588
"p1k_00626","SoxS",-8.99730245091867
"p1k_00719","SoxS",-8.77986103051633
"p1k_00657","SoxS",-9.05054692430117
"p1k_00736","SoxS",-8.99251355853009
"p1k_00059","SoxS",-9.03943818442483
"p1k_00080","SoxS",-8.97533121828901
"p1k_00379","SoxS",-9.02388185057926
"p1k_00618","SoxS",-9.05655395885401
"p1k_00929","SoxS",-9.03314603481305
"p1k_00637","SoxS",-8.98817094573092
